Original;Split
INS(ȯlkstõ);INS(ȯ),INS(l),INS(k),INS(s),INS(t),INS(õ)
INS(apsõks);INS(a),INS(p),INS(s),INS(õ),INS(k),INS(s)
INS(īmõ tunnõ);INS(ī),INS(m),INS(õ),INS( ),INS(t),INS(u),INS(n),INS(n),INS(õ)
INS(īb tun);INS(ī),INS(b),INS( ),INS(t),INS(u),INS(n)
INS(īztõks);INS(ī),INS(z),INS(t),INS(õ),INS(k),INS(s)
INS(ssõk);INS(s),INS(s),INS(õ),INS(k)
INS(ekšt);INS(e),INS(k),INS(š),INS(t)
INS(līd );INS(l),INS(ī),INS(d),INS( )
INS(sõst);INS(s),INS(õ),INS(s),INS(t)
INS(ndsõ);INS(n),INS(d),INS(s),INS(õ)
INS(ī vȯn);INS(ī),INS( ),INS(v),INS(ȯ),INS(n)
INS(ndõ);INS(n),INS(dõ)
INS(ņḑi);INS(ņ),INS(ḑ),INS(i)
INS(bõn);INS(b),INS(õ),INS(n)
INS(izm);INS(i),INS(z),INS(m)
INS(ji);INS(j),INS(i)
INS(āksm);INS(ā),INS(k),INS(s),INS(m)
INS(ēši);INS(ē),INS(š),INS(i)
INS(lā tul!);INS(l),INS(ā),INS( ),INS(t),INS(u),INS(l),INS(!)
INS(dist);INS(d),INS(i),INS(s),INS(t)
INS(ouvs);INS(o),INS(u),INS(v),INS(s)
INS(lõks);INS(l),INS(õ),INS(k),INS(s)
INS(tõn);INS(t),INS(õ),INS(n)
INS(iz);INS(i),INS(z)
INS(ņt);INS(ņ),INS(t)
INS(äb lītõ );INS(ä),INS(b),INS( ),INS(l),INS(ī),INS(t),INS(õ),INS( )
INS(nnõd);INS(n),INS(n),INS(õ),INS(d)
INS(ä);INS(ä)
INS( );INS( )
INS(īt tunnõ);INS(ī),INS(t),INS( ),INS(t),INS(u),INS(n),INS(n),INS(õ)
INS(rd);INS(r),INS(d)
INS(nbõd);INS(n),INS(b),INS(õ),INS(d)
INS(ūd);INS(ū),INS(d)
INS(tõ līnõ);INS(t),INS(õ),INS( ),INS(l),INS(ī),INS(n),INS(õ)
INS(izt);INS(i),INS(z),INS(t)
INS(lgõ tulgõ);INS(l),INS(g),INS(õ),INS( ),INS(t),INS(u),INS(l),INS(g),INS(õ)
INS( läkk);INS( ),INS(l),INS(ä),INS(k),INS(k)
INS(lidi);INS(l),INS(i),INS(d),INS(i)
INS(štõ);INS(š),INS(t),INS(õ)
INS(ȯļmõ);INS(ȯ),INS(ļ),INS(m),INS(õ)
INS(ī);INS(ī)
INS(ēšti);INS(ē),INS(š),INS(t),INS(i)
INS(ijid);INS(i),INS(j),INS(i),INS(d)
INS(īd tun);INS(ī),INS(d),INS( ),INS(t),INS(u),INS(n)
INS(ēḑi);INS(ē),INS(ḑ),INS(i)
INS(ți);INS(ț),INS(i)
INS(ȯlmõst);INS(ȯ),INS(l),INS(m),INS(õ),INS(s),INS(t)
INS(ntõ);INS(n),INS(t),INS(õ)
INS(šõn);INS(š),INS(õ),INS(n)
INS(ņņid);INS(ņ),INS(ņ),INS(i),INS(d)
INS(ouvõ);INS(o),INS(u),INS(v),INS(õ)
INS(ouvõn);INS(o),INS(u),INS(v),INS(õ),INS(n)
INS(mõ līnõ);INS(m),INS(õ),INS( ),INS(l),INS(ī),INS(n),INS(õ)
INS(zõs);INS(z),INS(õ),INS(s)
INS(äd);INS(ä),INS(d)
INS(īzõs);INS(ī),INS(z),INS(õ),INS(s)
INS(zõst);INS(z),INS(õ),INS(s),INS(t)
INS(ū);INS(ū)
INS(zta);INS(z),INS(t),INS(a)
INS(īzm);INS(ī),INS(z),INS(m)
INS(eiz);INS(e),INS(i),INS(z)
INS(iji);INS(i),INS(j),INS(i)
INS(āks);INS(ā),INS(k),INS(s)
INS(dis);INS(d),INS(i),INS(s)
INS(ļži);INS(ļ),INS(ž),INS(i)
INS(alā );INS(a),INS(l),INS(ā),INS( )
INS(algid );INS(a),INS(l),INS(g),INS(i),INS(d),INS( )
INS(gid!);INS(g),INS(i),INS(d),INS(!)
INS(ȯlks);INS(ȯ),INS(l),INS(k),INS(s)
INS(āizt);INS(ā),INS(i),INS(z),INS(t)
INS(gi);INS(g),INS(i)
INS(õukõ);INS(õ),INS(u),INS(k),INS(õ)
INS(īt vȯnnõ);INS(ī),INS(t),INS( ),INS(v),INS(ȯ),INS(n),INS(n),INS(õ)
INS(ȯlgid!);INS(ȯ),INS(l),INS(g),INS(i),INS(d),INS(!)
INS(dt);INS(d),INS(t)
INS(ȯļ);INS(ȯ),INS(ļ)
INS(bõ);INS(b),INS(õ)
INS(zõn);INS(z),INS(õ),INS(n)
INS(mõ);INS(m),INS(õ)
INS(īmõ vȯnnõ);INS(ī),INS(m),INS(õ),INS( ),INS(v),INS(ȯ),INS(n),INS(n),INS(õ)
INS(rõn);INS(r),INS(õ),INS(n)
INS(ižḑ);INS(i),INS(ž),INS(ḑ)
INS(äb līt );INS(ä),INS(b),INS( ),INS(l),INS(ī),INS(t),INS( )
INS(ld);INS(l),INS(d)
INS(b);INS(b)
INS(ž);INS(ž)
INS(ļḑi);INS(ļ),INS(ḑ),INS(i)
INS(sõk);INS(s),INS(õ),INS(k)
INS(sidi);INS(s),INS(i),INS(d),INS(i)
INS(līmõ );INS(l),INS(ī),INS(m),INS(õ),INS( )
INS(nmõ);INS(n),INS(m),INS(õ)
INS(ņtõ);INS(ņ),INS(t),INS(õ)
INS(țõks);INS(ț),INS(õ),INS(k),INS(s)
INS(iz ūo);INS(i),INS(z),INS( ),INS(ū),INS(o)
INS(nt);INS(n),INS(t)
INS(īzõ);INS(ī),INS(z),INS(õ)
INS(uļļi);INS(u),INS(ļ),INS(ļ),INS(i)
INS(ļõ);INS(ļ),INS(õ)
INS(ngõ);INS(n),INS(g),INS(õ)
INS(ul!);INS(u),INS(l),INS(!)
INS(äb līmõ );INS(ä),INS(b),INS( ),INS(l),INS(ī),INS(m),INS(õ),INS( )
INS(ssõdõk);INS(s),INS(s),INS(õ),INS(d),INS(õ),INS(k)
INS(uļmõ);INS(u),INS(ļ),INS(m),INS(õ)
INS(țõn);INS(ț),INS(õ),INS(n)
INS(ūoš);INS(ū),INS(o),INS(š)
INS(lstõ);INS(l),INS(s),INS(t),INS(õ)
INS(äuvšti);INS(ä),INS(u),INS(v),INS(š),INS(t),INS(i)
INS(īzõst);INS(ī),INS(z),INS(õ),INS(s),INS(t)
INS(ksm);INS(k),INS(s),INS(m)
INS(apsõ);INS(a),INS(p),INS(s),INS(õ)
INS(ouvidi);INS(o),INS(u),INS(v),INS(i),INS(d),INS(i)
INS(sõd);INS(s),INS(õ),INS(d)
INS(țõ);INS(ț),INS(õ)
INS(uļ);INS(u),INS(ļ)
INS(sist);INS(s),INS(i),INS(s),INS(t)
INS(ädūd);INS(ä),INS(d),INS(ū),INS(d)
INS(līm );INS(l),INS(ī),INS(m),INS( )
INS(si);INS(s),INS(i)
INS(tõ);INS(t),INS(õ)
INS(äb tul);INS(ä),INS(b),INS( ),INS(t),INS(u),INS(l)
INS(ņõ);INS(ņ),INS(õ)
INS(ēm);INS(ē),INS(m)
INS(ūdõks);INS(ū),INS(d),INS(õ),INS(k),INS(s)
INS(nkstõ);INS(n),INS(k),INS(s),INS(t),INS(õ)
INS(āb);INS(ā),INS(b)
INS(apsõs);INS(a),INS(p),INS(s),INS(õ),INS(s)
INS(siž);INS(s),INS(i),INS(ž)
INS(ädstõ);INS(ä),INS(d),INS(s),INS(t),INS(õ)
INS(ȯlkst);INS(ȯ),INS(l),INS(k),INS(s),INS(t)
INS(lõ);INS(l),INS(õ)
INS(eizt);INS(e),INS(i),INS(z),INS(t)
INS(dst);INS(d),INS(s),INS(t)
INS(tul);INS(t),INS(u),INS(l)
INS(ztkõks);INS(z),INS(t),INS(k),INS(õ),INS(k),INS(s)
INS(ssi);INS(s),INS(s),INS(i)
INS(lgid tulgid!);INS(l),INS(g),INS(i),INS(d),INS( ),INS(t),INS(u),INS(l),INS(g),INS(i),INS(d),INS(!)
INS(apsõn);INS(a),INS(p),INS(s),INS(õ),INS(n)
INS(ājid);INS(ā),INS(j),INS(i),INS(d)
INS(rõ);INS(r),INS(õ)
INS(iļmi);INS(i),INS(ļ),INS(m),INS(i)
INS(bõd);INS(b),INS(õ),INS(d)
INS(lgõd tulgõd);INS(l),INS(g),INS(õ),INS(d),INS( ),INS(t),INS(u),INS(l),INS(g),INS(õ),INS(d)
INS(izt ūotõ);INS(i),INS(z),INS(t),INS( ),INS(ū),INS(o),INS(t),INS(õ)
INS(lgid vȯlgid!);INS(l),INS(g),INS(i),INS(d),INS( ),INS(v),INS(ȯ),INS(l),INS(g),INS(i),INS(d),INS(!)
INS(āt);INS(ā),INS(t)
INS(īdõn);INS(ī),INS(d),INS(õ),INS(n)
INS(l!);INS(l),INS(!)
INS(äkk);INS(ä),INS(k),INS(k)
INS(sõn);INS(s),INS(õ),INS(n)
INS(šõs);INS(š),INS(õ),INS(s)
INS(an);INS(a),INS(n)
INS(ļšti);INS(ļ),INS(š),INS(t),INS(i)
INS(l);INS(l)
INS(äb ūotõ);INS(ä),INS(b),INS( ),INS(ū),INS(o),INS(t),INS(õ)
INS(ņõn);INS(ņ),INS(õ),INS(n)
INS(rkõks);INS(r),INS(k),INS(õ),INS(k),INS(s)
INS(ulks);INS(u),INS(l),INS(k),INS(s)
INS(ŗist);INS(ŗ),INS(i),INS(s),INS(t)
INS(dū);INS(d),INS(ū)
INS(ītõ vȯnnõ);INS(ī),INS(t),INS(õ),INS( ),INS(v),INS(ȯ),INS(n),INS(n),INS(õ)
INS(ūotõ);INS(ū),INS(o),INS(t),INS(õ)
INS(ät tulks);INS(ä),INS(t),INS( ),INS(t),INS(u),INS(l),INS(k),INS(s)
INS(mõt);INS(m),INS(õ),INS(t)
INS(mõks);INS(m),INS(õ),INS(k),INS(s)
INS(žiz);INS(ž),INS(i),INS(z)
INS(ldõ);INS(l),INS(d),INS(õ)
INS(ī tun);INS(ī),INS( ),INS(t),INS(u),INS(n)
INS(ȯlkõ);INS(ȯ),INS(l),INS(k),INS(õ)
INS(ā!);INS(ā),INS(!)
INS(īb vȯn);INS(ī),INS(b),INS( ),INS(v),INS(ȯ),INS(n)
INS(ouvõd);INS(o),INS(u),INS(v),INS(õ),INS(d)
INS(n!);INS(n),INS(!)
INS(itõ);INS(i),INS(t),INS(õ)
INS(ät ūotõ);INS(ä),INS(t),INS( ),INS(ū),INS(o),INS(t),INS(õ)
INS(nmõst);INS(n),INS(m),INS(õ),INS(s),INS(t)
INS(ākst);INS(ā),INS(k),INS(s),INS(t)
INS(žm);INS(ž),INS(m)
INS(īm vȯnnõ);INS(ī),INS(m),INS( ),INS(v),INS(ȯ),INS(n),INS(n),INS(õ)
INS(lībõd );INS(l),INS(ī),INS(b),INS(õ),INS(d),INS( )
INS(āgid!);INS(ā),INS(g),INS(i),INS(d),INS(!)
INS(īztõn);INS(ī),INS(z),INS(t),INS(õ),INS(n)
INS(äd lī );INS(ä),INS(d),INS( ),INS(l),INS(ī),INS( )
INS(šõst);INS(š),INS(õ),INS(s),INS(t)
INS(ŗi);INS(ŗ),INS(i)
INS(ŗõ);INS(ŗ),INS(õ)
INS(ūo);INS(ū),INS(o)
INS(sõdõk);INS(s),INS(õ),INS(d),INS(õ),INS(k)
INS(liž);INS(l),INS(i),INS(ž)
INS(ulgõ);INS(u),INS(l),INS(g),INS(õ)
INS(äddõn);INS(ä),INS(d),INS(d),INS(õ),INS(n)
INS(nmõt);INS(n),INS(m),INS(õ),INS(t)
INS(ņņi);INS(ņ),INS(ņ),INS(i)
INS(äb līm );INS(ä),INS(b),INS( ),INS(l),INS(ī),INS(m),INS( )
INS(nksmõ);INS(n),INS(k),INS(s),INS(m),INS(õ)
INS(ļõn);INS(ļ),INS(õ),INS(n)
INS(žt);INS(ž),INS(t)
INS(um);INS(u),INS(m)
INS(uļtõ);INS(u),INS(ļ),INS(t),INS(õ)
INS(ngid!);INS(n),INS(g),INS(i),INS(d),INS(!)
INS(ätā);INS(ä),INS(t),INS(ā)
INS(tulks);INS(t),INS(u),INS(l),INS(k),INS(s)
INS(izt ūo);INS(i),INS(z),INS(t),INS( ),INS(ū),INS(o)
INS(ouvõks);INS(o),INS(u),INS(v),INS(õ),INS(k),INS(s)
INS(nāb);INS(n),INS(ā),INS(b)
INS(sõdõn);INS(s),INS(õ),INS(d),INS(õ),INS(n)
INS(ssõ);INS(s),INS(s),INS(õ)
INS(ndstõ);INS(n),INS(d),INS(s),INS(t),INS(õ)
INS(gid ligīd!);INS(g),INS(i),INS(d),INS( ),INS(l),INS(i),INS(g),INS(ī),INS(d),INS(!)
INS(ūošõd);INS(ū),INS(o),INS(š),INS(õ),INS(d)
INS(ūošid);INS(ū),INS(o),INS(š),INS(i),INS(d)
INS(lgõd vȯlkõd);INS(l),INS(g),INS(õ),INS(d),INS( ),INS(v),INS(ȯ),INS(l),INS(k),INS(õ),INS(d)
INS(ulksmõ);INS(u),INS(l),INS(k),INS(s),INS(m),INS(õ)
INS(b līn);INS(b),INS( ),INS(l),INS(ī),INS(n)
INS(ūošiz);INS(ū),INS(o),INS(š),INS(i),INS(z)
INS(lõdõn);INS(l),INS(õ),INS(d),INS(õ),INS(n)
INS(šõks);INS(š),INS(õ),INS(k),INS(s)
INS(āji);INS(ā),INS(j),INS(i)
INS(lõdõks);INS(l),INS(õ),INS(d),INS(õ),INS(k),INS(s)
INS(nks);INS(n),INS(k),INS(s)
INS(ädkõks);INS(ä),INS(d),INS(k),INS(õ),INS(k),INS(s)
INS(š);INS(š)
INS(ļši);INS(ļ),INS(š),INS(i)
INS(ulāb);INS(u),INS(l),INS(ā),INS(b)
INS(tis);INS(t),INS(i),INS(s)
INS(ītõ tunnõ);INS(ī),INS(t),INS(õ),INS( ),INS(t),INS(u),INS(n),INS(n),INS(õ)
INS(tulmõ);INS(t),INS(u),INS(l),INS(m),INS(õ)
INS(gõ läkk);INS(g),INS(õ),INS( ),INS(l),INS(ä),INS(k),INS(k)
INS(ā);INS(ā)
INS(ȯigši);INS(ȯ),INS(i),INS(g),INS(š),INS(i)
INS(ädūdõks);INS(ä),INS(d),INS(ū),INS(d),INS(õ),INS(k),INS(s)
INS(rtõ);INS(r),INS(t),INS(õ)
INS(ämmõ);INS(ä),INS(m),INS(m),INS(õ)
INS(ībõd tunnõ);INS(ī),INS(b),INS(õ),INS(d),INS( ),INS(t),INS(u),INS(n),INS(n),INS(õ)
INS(īd vȯn);INS(ī),INS(d),INS( ),INS(v),INS(ȯ),INS(n)
INS(t );INS(t),INS( )
INS(izt tul);INS(i),INS(z),INS(t),INS( ),INS(t),INS(u),INS(l)
INS(tā);INS(t),INS(ā)
INS(nõdõ);INS(n),INS(õ),INS(d),INS(õ)
INS(ȯigõ);INS(ȯ),INS(i),INS(g),INS(õ)
INS(aps);INS(a),INS(p),INS(s)
INS(touvõs);INS(t),INS(o),INS(u),INS(v),INS(õ),INS(s)
INS(ŗiž);INS(ŗ),INS(i),INS(ž)
INS(ulgid!);INS(u),INS(l),INS(g),INS(i),INS(d),INS(!)
INS(m līnõ);INS(m),INS( ),INS(l),INS(ī),INS(n),INS(õ)
INS(äb tulks);INS(ä),INS(b),INS( ),INS(t),INS(u),INS(l),INS(k),INS(s)
INS(št);INS(š),INS(t)
INS(ād);INS(ā),INS(d)
INS(d līn);INS(d),INS( ),INS(l),INS(ī),INS(n)
INS(lgõ vȯlkõ);INS(l),INS(g),INS(õ),INS( ),INS(v),INS(ȯ),INS(l),INS(k),INS(õ)
INS(ouvõs);INS(o),INS(u),INS(v),INS(õ),INS(s)
INS(ȯlmõ);INS(ȯ),INS(l),INS(m),INS(õ)
INS(lõd);INS(l),INS(õ),INS(d)
INS(ldkõks);INS(l),INS(d),INS(k),INS(õ),INS(k),INS(s)
INS(rsõ);INS(r),INS(s),INS(õ)
INS(ekš);INS(e),INS(k),INS(š)
INS(ȯigšti);INS(ȯ),INS(i),INS(g),INS(š),INS(t),INS(i)
INS(ȯigḑi);INS(ȯ),INS(i),INS(g),INS(ḑ),INS(i)
INS(ädsõ);INS(ä),INS(d),INS(s),INS(õ)
INS(lsõ);INS(l),INS(s),INS(õ)
INS(ät tul);INS(ä),INS(t),INS( ),INS(t),INS(u),INS(l)
INS(iz ūom);INS(i),INS(z),INS( ),INS(ū),INS(o),INS(m)
INS(ouvis);INS(o),INS(u),INS(v),INS(i),INS(s)
INS(īm tunnõ);INS(ī),INS(m),INS( ),INS(t),INS(u),INS(n),INS(n),INS(õ)
INS(tõks);INS(t),INS(õ),INS(k),INS(s)
INS(rdkõks);INS(r),INS(d),INS(k),INS(õ),INS(k),INS(s)
INS(lõn);INS(l),INS(õ),INS(n)
INS(iļmži);INS(i),INS(ļ),INS(m),INS(ž),INS(i)
INS(list);INS(l),INS(i),INS(s),INS(t)
INS(apsõst);INS(a),INS(p),INS(s),INS(õ),INS(s),INS(t)
INS(un);INS(u),INS(n)
INS(äd ūo);INS(ä),INS(d),INS( ),INS(ū),INS(o)
INS(ȯigži);INS(ȯ),INS(i),INS(g),INS(ž),INS(i)
INS(i!);INS(i),INS(!)
INS(ībõd vȯnnõ);INS(ī),INS(b),INS(õ),INS(d),INS( ),INS(v),INS(ȯ),INS(n),INS(n),INS(õ)
INS(lkõks);INS(l),INS(k),INS(õ),INS(k),INS(s)
INS(ȯļtõ);INS(ȯ),INS(ļ),INS(t),INS(õ)
INS(tuļ);INS(t),INS(u),INS(ļ)
INS(iļmšti);INS(i),INS(ļ),INS(m),INS(š),INS(t),INS(i)
INS(tīn);INS(t),INS(ī),INS(n)
INS(gõn);INS(g),INS(õ),INS(n)
INS(äb ūo);INS(ä),INS(b),INS( ),INS(ū),INS(o)
INS(touvs);INS(t),INS(o),INS(u),INS(v),INS(s)
INS(ulkstõ);INS(u),INS(l),INS(k),INS(s),INS(t),INS(õ)
INS(polākõ);INS(p),INS(o),INS(l),INS(ā),INS(k),INS(õ)
INS(ŗõn);INS(ŗ),INS(õ),INS(n)
INS(t līnõ);INS(t),INS( ),INS(l),INS(ī),INS(n),INS(õ)
INS(ädūdõn);INS(ä),INS(d),INS(ū),INS(d),INS(õ),INS(n)
INS(nkst);INS(n),INS(k),INS(s),INS(t)
INS(ūdõn);INS(ū),INS(d),INS(õ),INS(n)
INS(ȯn);INS(ȯ),INS(n)
INS(rstõ);INS(r),INS(s),INS(t),INS(õ)
INS(ȯlmõt);INS(ȯ),INS(l),INS(m),INS(õ),INS(t)
INS(äddõ);INS(ä),INS(d),INS(d),INS(õ)
INS(ŗis);INS(ŗ),INS(i),INS(s)
INS(ouviž);INS(o),INS(u),INS(v),INS(i),INS(ž)
INS(apstõn);INS(a),INS(p),INS(s),INS(t),INS(õ),INS(n)
INS(ouvõdõks);INS(o),INS(u),INS(v),INS(õ),INS(d),INS(õ),INS(k),INS(s)
INS(m );INS(m),INS( )
INS(ndkõks);INS(n),INS(d),INS(k),INS(õ),INS(k),INS(s)
INS(apstā);INS(a),INS(p),INS(s),INS(t),INS(ā)
INS(rōntõ);INS(r),INS(ō),INS(n),INS(t),INS(õ)
INS(ouvõdõn);INS(o),INS(u),INS(v),INS(õ),INS(d),INS(õ),INS(n)
DEL(uoŗ);DEL(u),DEL(o),DEL(ŗ)
DEL(ȱ);DEL(ȱ)
DEL(ņ);DEL(ņ)
DEL(š);DEL(š)
DEL(ȯis);DEL(ȯ),DEL(i),DEL(s)
DEL(õd);DEL(õ),DEL(d)
DEL(ō);DEL(ō)
DEL(tūld);DEL(t),DEL(ū),DEL(l),DEL(d)
DEL(õz);DEL(õ),DEL(z)
DEL(i);DEL(i)
DEL(īe);DEL(ī),DEL(e)
DEL(ōva);DEL(ōv),DEL(a)
DEL(ȱl);DEL(ȱ),DEL(l)
DEL(da);DEL(d),DEL(a)
DEL(u);DEL(u)
DEL(k);DEL(k)
DEL(lā);DEL(l),DEL(ā)
DEL(ȭka);DEL(ȭ),DEL(k),DEL(a)
DEL(zā);DEL(z),DEL(ā)
DEL(ī);DEL(ī)
DEL(ȯ);DEL(ȯ)
DEL(īlma);DEL(ī),DEL(l),DEL(m),DEL(a)
DEL(vȱld);DEL(v),DEL(ȱ),DEL(l),DEL(d)
DEL(n);DEL(n)
DEL(r);DEL(r)
DEL(ȭ);DEL(ȭ)
DEL(āit);DEL(ā),DEL(i),DEL(t)
DEL(vȱl);DEL(v),DEL(ȱ),DEL(l)
DEL(e);DEL(e)
DEL(s);DEL(s)
DEL(ūl);DEL(ū),DEL(l)
DEL(ūoga);DEL(ū),DEL(o),DEL(g),DEL(a)
DEL(ǟma);DEL(ǟ),DEL(m),DEL(a)
DEL(ntsa);DEL(n),DEL(t),DEL(s),DEL(a)
