Original;Split
INS(onna);INS(o),INS(n),INS(n),INS(a)
INS(fidh tú);INS(f),INS(i),INS(d),INS(h),INS( ),INS(t),INS(ú)
INS(g);INS(g)
INS(pre);INS(p),INS(r),INS(e)
INS(en);INS(e),INS(n)
INS(in);INS(i),INS(n)
INS(íf);INS(í),INS(f)
INS(ao);INS(a),INS(o)
INS(ear);INS(e),INS(a),INS(r)
INS(e tú);INS(e),INS( ),INS(t),INS(ú)
INS(eofaí);INS(e),INS(o),INS(f),INS(a),INS(í)
INS(dío);INS(d),INS(í),INS(o)
INS(rítea);INS(r),INS(í),INS(t),INS(e),INS(a)
INS(fainn);INS(f),INS(a),INS(i),INS(n),INS(n)
INS(a mé);INS(a),INS( ),INS(m),INS(é)
INS(fimid);INS(f),INS(i),INS(m),INS(i),INS(d)
INS(aítí);INS(a),INS(í),INS(t),INS(í)
INS(thach);INS(t),INS(h),INS(a),INS(c),INS(h)
INS(á);INS(á)
INS(c);INS(c)
INS(fad);INS(f),INS(a),INS(d)
INS(il);INS(i),INS(l)
INS(hadh sib);INS(h),INS(a),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b)
INS(eofá);INS(e),INS(o),INS(f),INS(á)
INS(aíonn sibh);INS(a),INS(í),INS(o),INS(n),INS(n),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(reofa);INS(r),INS(e),INS(o),INS(f),INS(a)
INS(hreac);INS(h),INS(r),INS(e),INS(a),INS(c)
INS(eoidh s);INS(e),INS(o),INS(i),INS(d),INS(h),INS( ),INS(s)
INS(n);INS(n)
INS(feadh);INS(f),INS(e),INS(a),INS(d),INS(h)
INS(ne);INS(n),INS(e)
INS(eoidh mé);INS(e),INS(o),INS(i),INS(d),INS(h),INS( ),INS(m),INS(é)
INS(na d);INS(n),INS(a),INS( ),INS(d)
INS(úfaí);INS(ú),INS(f),INS(a),INS(í)
INS(idim);INS(i),INS(d),INS(i),INS(m)
INS(ímis);INS(í),INS(m),INS(i),INS(s)
INS(dh s);INS(d),INS(h),INS( ),INS(s)
INS(reach);INS(r),INS(e),INS(a),INS(c),INS(h)
INS(eofar);INS(e),INS(o),INS(f),INS(a),INS(r)
INS(faidh sibh);INS(f),INS(a),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(aínn);INS(a),INS(í),INS(n),INS(n)
INS( d');INS( ),INS(d),INS(')
INS(íocha);INS(í),INS(o),INS(c),INS(h),INS(a)
INS(feá);INS(f),INS(e),INS(á)
INS(finn);INS(f),INS(i),INS(n),INS(n)
INS(aigí);INS(a),INS(i),INS(g),INS(í)
INS(íodh sé);INS(í),INS(o),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(nín);INS(n),INS(í),INS(n)
INS(osa);INS(o),INS(s),INS(a)
INS(he);INS(h),INS(e)
INS(Singu);INS(S),INS(i),INS(n),INS(g),INS(u)
INS(e sibh);INS(e),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(m);INS(m)
INS( bhéi);INS( ),INS(b),INS(h),INS(é),INS(i)
INS(asf);INS(a),INS(s),INS(f)
INS(dh );INS(d),INS(h),INS( )
INS(iad);INS(i),INS(a),INS(d)
INS(eoidh siad);INS(e),INS(o),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(fidh siad);INS(f),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(each);INS(e),INS(a),INS(c),INS(h)
INS(Singular);INS(S),INS(i),INS(n),INS(g),INS(u),INS(l),INS(a),INS(r)
INS(éa);INS(é),INS(a)
INS(art);INS(a),INS(r),INS(t)
INS(eodh);INS(e),INS(o),INS(d),INS(h)
INS(óidh si);INS(ó),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i)
INS(aíonn);INS(a),INS(í),INS(o),INS(n),INS(n)
INS(r);INS(r)
INS(far);INS(f),INS(a),INS(r)
INS(seodh );INS(s),INS(e),INS(o),INS(d),INS(h),INS( )
INS(rfea);INS(r),INS(f),INS(e),INS(a)
INS(ífim);INS(í),INS(f),INS(i),INS(m)
INS(aí sibh);INS(a),INS(í),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(é);INS(é)
INS(bh si);INS(b),INS(h),INS( ),INS(s),INS(i)
INS(chra);INS(c),INS(h),INS(r),INS(a)
INS(mid);INS(m),INS(i),INS(d)
INS(rófa);INS(r),INS(ó),INS(f),INS(a)
INS(hc);INS(h),INS(c)
INS(eoimid);INS(e),INS(o),INS(i),INS(m),INS(i),INS(d)
INS(pc);INS(p),INS(c)
INS(eoimis);INS(e),INS(o),INS(i),INS(m),INS(i),INS(s)
INS(had);INS(h),INS(a),INS(d)
INS(fa);INS(f),INS(a)
INS(í siad);INS(í),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(fid);INS(f),INS(i),INS(d)
INS(áilte);INS(á),INS(i),INS(l),INS(t),INS(e)
INS(eá);INS(e),INS(á)
INS(eann siad);INS(e),INS(a),INS(n),INS(n),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(eann);INS(e),INS(a),INS(n),INS(n)
INS(sann);INS(s),INS(a),INS(n),INS(n)
INS(ith);INS(i),INS(t),INS(h)
INS(anta);INS(a),INS(n),INS(t),INS(a)
INS(is);INS(i),INS(s)
INS(eoidís);INS(e),INS(o),INS(i),INS(d),INS(í),INS(s)
INS(af);INS(a),INS(f)
INS(igí);INS(i),INS(g),INS(í)
INS(nea);INS(n),INS(e),INS(a)
INS(fidh sibh);INS(f),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(bha si);INS(b),INS(h),INS(a),INS( ),INS(s),INS(i)
INS(óidh sé);INS(ó),INS(i),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(aímid);INS(a),INS(í),INS(m),INS(i),INS(d)
INS(ó);INS(ó)
INS(ha);INS(h),INS(a)
INS(raíte);INS(r),INS(a),INS(í),INS(t),INS(e)
INS(ann sé);INS(a),INS(n),INS(n),INS( ),INS(s),INS(é)
INS(achtáil);INS(a),INS(c),INS(h),INS(t),INS(á),INS(i),INS(l)
INS(nnói);INS(n),INS(n),INS(ó),INS(i)
INS(aíodh sibh);INS(a),INS(í),INS(o),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(ófar);INS(ó),INS(f),INS(a),INS(r)
INS( tháinig);INS( ),INS(t),INS(h),INS(á),INS(i),INS(n),INS(i),INS(g)
INS(eann sé);INS(e),INS(a),INS(n),INS(n),INS( ),INS(s),INS(é)
INS(aídís);INS(a),INS(í),INS(d),INS(í),INS(s)
INS(hnífin);INS(h),INS(n),INS(í),INS(f),INS(i),INS(n)
INS(atastróifea);INS(a),INS(t),INS(a),INS(s),INS(t),INS(r),INS(ó),INS(i),INS(f),INS(e),INS(a)
INS(p);INS(p)
INS(áf);INS(á),INS(f)
INS(ite);INS(i),INS(t),INS(e)
INS(ímid);INS(í),INS(m),INS(i),INS(d)
INS(artha);INS(a),INS(r),INS(t),INS(h),INS(a)
INS(resent);INS(r),INS(e),INS(s),INS(e),INS(n),INS(t)
INS(fidh mé);INS(f),INS(i),INS(d),INS(h),INS( ),INS(m),INS(é)
INS(ífead);INS(í),INS(f),INS(e),INS(a),INS(d)
INS(adann si);INS(a),INS(d),INS(a),INS(n),INS(n),INS( ),INS(s),INS(i)
INS(idí);INS(i),INS(d),INS(í)
INS(feadh sé);INS(f),INS(e),INS(a),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(ódh sé);INS(ó),INS(d),INS(h),INS( ),INS(s),INS(é)
INS( s);INS( ),INS(s)
INS(gadh);INS(g),INS(a),INS(d),INS(h)
INS(aí sé);INS(a),INS(í),INS( ),INS(s),INS(é)
INS(níon);INS(n),INS(í),INS(o),INS(n)
INS(hfaid);INS(h),INS(f),INS(a),INS(i),INS(d)
INS(aíonn sé);INS(a),INS(í),INS(o),INS(n),INS(n),INS( ),INS(s),INS(é)
INS(aíteá);INS(a),INS(í),INS(t),INS(e),INS(á)
INS(síonn );INS(s),INS(í),INS(o),INS(n),INS(n),INS( )
INS(rese);INS(r),INS(e),INS(s),INS(e)
INS(de sia);INS(d),INS(e),INS( ),INS(s),INS(i),INS(a)
INS(eoidh sé);INS(e),INS(o),INS(i),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(fead);INS(f),INS(e),INS(a),INS(d)
INS(hfadh sib);INS(h),INS(f),INS(a),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b)
INS(hneac);INS(h),INS(n),INS(e),INS(a),INS(c)
INS(bhann si);INS(b),INS(h),INS(a),INS(n),INS(n),INS( ),INS(s),INS(i)
INS(ha sib);INS(h),INS(a),INS( ),INS(s),INS(i),INS(b)
INS(ocha);INS(o),INS(c),INS(h),INS(a)
INS(a dhlío);INS(a),INS( ),INS(d),INS(h),INS(l),INS(í),INS(o)
INS(hea);INS(h),INS(e),INS(a)
INS(sóimi);INS(s),INS(ó),INS(i),INS(m),INS(i)
INS(íonn sibh);INS(í),INS(o),INS(n),INS(n),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(fidh);INS(f),INS(i),INS(d),INS(h)
INS(nain);INS(n),INS(a),INS(i),INS(n)
INS(a vallait);INS(a),INS( ),INS(v),INS(a),INS(l),INS(l),INS(a),INS(i),INS(t)
INS(fadh s);INS(f),INS(a),INS(d),INS(h),INS( ),INS(s)
INS(an vallait);INS(a),INS(n),INS( ),INS(v),INS(a),INS(l),INS(l),INS(a),INS(i),INS(t)
INS(dóimi);INS(d),INS(ó),INS(i),INS(m),INS(i)
INS(atastróife);INS(a),INS(t),INS(a),INS(s),INS(t),INS(r),INS(ó),INS(i),INS(f),INS(e)
INS(nn tú);INS(n),INS(n),INS( ),INS(t),INS(ú)
INS(hlac);INS(h),INS(l),INS(a),INS(c)
INS(pach);INS(p),INS(a),INS(c),INS(h)
INS(anach);INS(a),INS(n),INS(a),INS(c),INS(h)
INS(faimíd);INS(f),INS(a),INS(i),INS(m),INS(í),INS(d)
INS(aíonn siad);INS(a),INS(í),INS(o),INS(n),INS(n),INS( ),INS(s),INS(i),INS(a),INS(d)
INS(as);INS(a),INS(s)
INS(dí);INS(d),INS(í)
INS(meoi);INS(m),INS(e),INS(o),INS(i)
INS(mis);INS(m),INS(i),INS(s)
INS(ódh);INS(ó),INS(d),INS(h)
INS(gi);INS(g),INS(i)
INS(óim);INS(ó),INS(i),INS(m)
INS(fidís);INS(f),INS(i),INS(d),INS(í),INS(s)
INS(oi);INS(o),INS(i)
INS(gadh sé);INS(g),INS(a),INS(d),INS(h),INS( ),INS(s),INS(é)
INS(hiocfá);INS(h),INS(i),INS(o),INS(c),INS(f),INS(á)
INS(eoidh tú);INS(e),INS(o),INS(i),INS(d),INS(h),INS( ),INS(t),INS(ú)
INS(í sibh);INS(í),INS( ),INS(s),INS(i),INS(b),INS(h)
INS(uífimis);INS(u),INS(í),INS(f),INS(i),INS(m),INS(i),INS(s)
INS(na cir);INS(n),INS(a),INS( ),INS(c),INS(i),INS(r)
INS(eann tú);INS(e),INS(a),INS(n),INS(n),INS( ),INS(t),INS(ú)
INS(ófaí);INS(ó),INS(f),INS(a),INS(í)
INS(aímis);INS(a),INS(í),INS(m),INS(i),INS(s)
INS(aethanta);INS(a),INS(e),INS(t),INS(h),INS(a),INS(n),INS(t),INS(a)
INS(Singula);INS(S),INS(i),INS(n),INS(g),INS(u),INS(l),INS(a)
INS(nnío);INS(n),INS(n),INS(í),INS(o)
INS(l);INS(l)
INS(s na hea);INS(s),INS( ),INS(n),INS(a),INS( ),INS(h),INS(e),INS(a)
INS(nífí);INS(n),INS(í),INS(f),INS(í)
INS(faim);INS(f),INS(a),INS(i),INS(m)
INS(óidh);INS(ó),INS(i),INS(d),INS(h)
INS(bhadh si);INS(b),INS(h),INS(a),INS(d),INS(h),INS( ),INS(s),INS(i)
INS(eann s);INS(e),INS(a),INS(n),INS(n),INS( ),INS(s)
INS(Singul);INS(S),INS(i),INS(n),INS(g),INS(u),INS(l)
INS(aígí);INS(a),INS(í),INS(g),INS(í)
INS(faidh s);INS(f),INS(a),INS(i),INS(d),INS(h),INS( ),INS(s)
INS(áil);INS(á),INS(i),INS(l)
INS(han);INS(h),INS(a),INS(n)
INS(ífinn);INS(í),INS(f),INS(i),INS(n),INS(n)
INS(aí tú);INS(a),INS(í),INS( ),INS(t),INS(ú)
INS(ífidh s);INS(í),INS(f),INS(i),INS(d),INS(h),INS( ),INS(s)
INS(athann);INS(a),INS(t),INS(h),INS(a),INS(n),INS(n)
INS(o ní tú);INS(o),INS( ),INS(n),INS(í),INS( ),INS(t),INS(ú)
INS(dh);INS(d),INS(h)
INS(eam);INS(e),INS(a),INS(m)
INS(thi);INS(t),INS(h),INS(i)
INS(eana);INS(e),INS(a),INS(n),INS(a)
INS(thaí);INS(t),INS(h),INS(a),INS(í)
INS(eanta);INS(e),INS(a),INS(n),INS(t),INS(a)
INS(aíomar);INS(a),INS(í),INS(o),INS(m),INS(a),INS(r)
INS(ean);INS(e),INS(a),INS(n)
INS( nei);INS( ),INS(n),INS(e),INS(i)
INS(hfaidh sib);INS(h),INS(f),INS(a),INS(i),INS(d),INS(h),INS( ),INS(s),INS(i),INS(b)
INS(na ti);INS(n),INS(a),INS( ),INS(t),INS(i)
INS(rfa);INS(r),INS(f),INS(a)
INS(gtá);INS(g),INS(t),INS(á)
INS(leis n);INS(l),INS(e),INS(i),INS(s),INS( ),INS(n)
INS( );INS( )
INS(Plural);INS(P),INS(l),INS(u),INS(r),INS(a),INS(l)
INS(hfead);INS(h),INS(f),INS(e),INS(a),INS(d)
INS(eoinn);INS(e),INS(o),INS(i),INS(n),INS(n)
DEL(r);DEL(r)
DEL(t);DEL(t)
DEL(gai);DEL(g),DEL(a),DEL(i)
DEL(gi);DEL(g),DEL(i)
DEL(d);DEL(d)
DEL(amh);DEL(a),DEL(mh)
DEL(fásáil);DEL(f),DEL(á),DEL(s),DEL(á),DEL(i),DEL(l)
DEL(im);DEL(i),DEL(m)
DEL(mh);DEL(m),DEL(h)
DEL(ois);DEL(o),DEL(i),DEL(s)
DEL(haig);DEL(h),DEL(aig)
DEL(in);DEL(i),DEL(n)
DEL(cei);DEL(c),DEL(e),DEL(i)
DEL(adh);DEL(a),DEL(dh)
DEL(deireadh seachtaine);DEL(d),DEL(e),DEL(i),DEL(r),DEL(e),DEL(a),DEL(d),DEL(h),DEL( ),DEL(s),DEL(e),DEL(a),DEL(c),DEL(h),DEL(t),DEL(a),DEL(i),DEL(n),DEL(e)
DEL(l);DEL(l)
DEL(oc);DEL(o),DEL(c)
DEL(fo);DEL(f),DEL(o)
DEL(ríoc);DEL(r),DEL(í),DEL(o),DEL(c)
DEL(an);DEL(a),DEL(n)
DEL(u);DEL(u)
DEL(ó);DEL(ó)
DEL(oi);DEL(o),DEL(i)
DEL(hig);DEL(h),DEL(ig)
DEL(ainn);DEL(a),DEL(i),DEL(n),DEL(n)
DEL(heac);DEL(h),DEL(e),DEL(a),DEL(c)
DEL(ir);DEL(i),DEL(r)
DEL(úig);DEL(ú),DEL(i),DEL(g)
DEL(ean);DEL(ea),DEL(n)
DEL(och);DEL(o),DEL(c),DEL(h)
DEL(bea);DEL(b),DEL(e),DEL(a)
DEL(bé);DEL(b),DEL(é)
DEL(bogha báistí);DEL(b),DEL(o),DEL(g),DEL(h),DEL(a),DEL( ),DEL(b),DEL(á),DEL(i),DEL(s),DEL(t),DEL(í)
DEL(ui);DEL(u),DEL(i)
DEL(ei);DEL(e),DEL(i)
DEL(n);DEL(n)
DEL(ta);DEL(t),DEL(a)
DEL(bid);DEL(b),DEL(i),DEL(d)
DEL(cea);DEL(c),DEL(ea)
DEL(s);DEL(s)
DEL(ach);DEL(a),DEL(c),DEL(h)
DEL(acht);DEL(a),DEL(c),DEL(h),DEL(t)
DEL(b);DEL(b)
DEL(eá);DEL(e),DEL(á)
DEL(m);DEL(m)
DEL(al);DEL(a),DEL(l)
DEL(éi);DEL(é),DEL(i)
DEL(eáil);DEL(e),DEL(á),DEL(i),DEL(l)
DEL(inn);DEL(in),DEL(n)
DEL(io);DEL(i),DEL(o)
DEL(ail);DEL(a),DEL(i),DEL(l)
DEL(lig);DEL(l),DEL(i),DEL(g)
DEL(il);DEL(i),DEL(l)
DEL( capaill);DEL( ),DEL(c),DEL(a),DEL(p),DEL(a),DEL(i),DEL(l),DEL(l)
DEL(béic);DEL(b),DEL(é),DEL(i),DEL(c)
DEL(ar);DEL(a),DEL(r)
DEL(uig);DEL(u),DEL(i),DEL(g)
DEL(arc);DEL(a),DEL(r),DEL(c)
DEL(á);DEL(á)
DEL(gánach);DEL(g),DEL(á),DEL(n),DEL(a),DEL(c),DEL(h)
DEL(nig);DEL(n),DEL(i),DEL(g)
DEL(íoslódáil);DEL(í),DEL(o),DEL(s),DEL(l),DEL(ó),DEL(d),DEL(á),DEL(i),DEL(l)
DEL(ill);DEL(i),DEL(l),DEL(l)
DEL(tuam);DEL(t),DEL(u),DEL(a),DEL(m)
DEL(idh);DEL(i),DEL(d),DEL(h)
DEL(eadh);DEL(e),DEL(a),DEL(d),DEL(h)
DEL( );DEL( )
DEL(ni);DEL(n),DEL(i)
DEL(bh);DEL(b),DEL(h)
DEL(int);DEL(i),DEL(n),DEL(t)
DEL(ead);DEL(e),DEL(a),DEL(d)
DEL(iú);DEL(i),DEL(ú)
DEL(uin);DEL(u),DEL(i),DEL(n)
DEL(fiche);DEL(f),DEL(i),DEL(c),DEL(h),DEL(e)
DEL(reacht);DEL(r),DEL(e),DEL(a),DEL(c),DEL(h),DEL(t)
