MorphFeature;DEL(c);DEL(coyer);DEL(r);DEL(re);INS(a);INS(ais);INS(an);INS(as);INS(e);INS(eis);INS(emos);INS(en);INS(es);INS(on);INS(y);INS(á);INS(án);INS(ás);INS(é);INS(éis);INS(ía);INS(íais);INS(íamos);INS(íeis);INS(íemos);INS(íen);INS(íes)
1,IND,LGSPEC1,PRF,PST,SG,V;-1.0;-1.0;-1.0;-1.0;-0.945578231292517;-1.0;-1.0;-1.0;0.8639455782312926;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC1,PRF,SG;-1.0;-1.0;-1.0;-1.0;-0.945578231292517;-1.0;-1.0;-1.0;0.8639455782312926;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC1,PRF,SG,V;-1.0;-1.0;-1.0;-1.0;-0.945578231292517;-1.0;-1.0;-1.0;0.8639455782312926;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC1,PST,SG;-1.0;-1.0;-1.0;-1.0;-0.945578231292517;-1.0;-1.0;-1.0;0.8639455782312926;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC1,PST,SG,V;-1.0;-1.0;-1.0;-1.0;-0.945578231292517;-1.0;-1.0;-1.0;0.8639455782312926;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC1,SG;-1.0;-1.0;-1.0;-1.0;-0.9463087248322148;-1.0;-1.0;-1.0;0.8389261744966443;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC1,SG,V;-1.0;-1.0;-1.0;-1.0;-0.9463087248322148;-1.0;-1.0;-1.0;0.8389261744966443;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC2,PRF,PST,SG;-1.0;-1.0;-0.9852941176470589;-1.0;0.838235294117647;-1.0;-1.0;-1.0;-0.8823529411764706;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9852941176470589;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC2,PRF,PST,SG,V;-1.0;-1.0;-0.9852941176470589;-1.0;0.838235294117647;-1.0;-1.0;-1.0;-0.8823529411764706;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9852941176470589;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC2,PRF,SG;-1.0;-1.0;-0.9852941176470589;-1.0;0.838235294117647;-1.0;-1.0;-1.0;-0.8823529411764706;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9852941176470589;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC2,PRF,SG,V;-1.0;-1.0;-0.9852941176470589;-1.0;0.838235294117647;-1.0;-1.0;-1.0;-0.8823529411764706;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9852941176470589;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC2,PST,SG;-1.0;-1.0;-0.9855072463768115;-1.0;0.8115942028985508;-1.0;-1.0;-1.0;-0.8840579710144927;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9855072463768115;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC2,PST,SG,V;-1.0;-1.0;-0.9855072463768115;-1.0;0.8115942028985508;-1.0;-1.0;-1.0;-0.8840579710144927;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9855072463768115;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC2,SG;-1.0;-1.0;-0.9862068965517241;-1.0;0.7241379310344827;-1.0;-1.0;-1.0;-0.8896551724137931;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9862068965517241;-1.0;-1.0;-1.0;-0.9724137931034482;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,LGSPEC2,SG,V;-1.0;-1.0;-0.9862068965517241;-1.0;0.7241379310344827;-1.0;-1.0;-1.0;-0.8896551724137931;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9862068965517241;-1.0;-1.0;-1.0;-0.9724137931034482;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,PRF,PST,SG;-1.0;-1.0;-0.993174061433447;-1.0;-0.10580204778156999;-1.0;-1.0;-1.0;0.0034129692832765013;-1.0;-1.0;-1.0;-1.0;-1.0;-0.993174061433447;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,PRF,PST,SG,V;-1.0;-1.0;-0.993174061433447;-1.0;-0.10580204778156999;-1.0;-1.0;-1.0;0.0034129692832765013;-1.0;-1.0;-1.0;-1.0;-1.0;-0.993174061433447;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,PRF,SG;-1.0;-1.0;-0.993174061433447;-1.0;-0.10580204778156999;-1.0;-1.0;-1.0;0.0034129692832765013;-1.0;-1.0;-1.0;-1.0;-1.0;-0.993174061433447;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IND,PRF,SG,V;-1.0;-1.0;-0.993174061433447;-1.0;-0.10580204778156999;-1.0;-1.0;-1.0;0.0034129692832765013;-1.0;-1.0;-1.0;-1.0;-1.0;-0.993174061433447;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC1,PST,SBJV,SG;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC1,PST,SBJV,SG,V;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC1,PST,SG;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC1,PST,SG,V;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC1,SBJV,SG;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC1,SBJV,SG,V;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC1,SG;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC1,SG,V;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC2,PST,SBJV,SG;-1.0;-1.0;-1.0;-1.0;0.792;-1.0;-1.0;-1.0;-0.9199999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC2,PST,SBJV,SG,V;-1.0;-1.0;-1.0;-1.0;0.792;-1.0;-1.0;-1.0;-0.9199999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC2,PST,SG;-1.0;-1.0;-1.0;-1.0;0.7637795275590551;-1.0;-1.0;-1.0;-0.921259842519685;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC2,PST,SG,V;-1.0;-1.0;-1.0;-1.0;0.7637795275590551;-1.0;-1.0;-1.0;-0.921259842519685;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC2,SBJV,SG;-1.0;-1.0;-1.0;-1.0;0.792;-1.0;-1.0;-1.0;-0.9199999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC2,SBJV,SG,V;-1.0;-1.0;-1.0;-1.0;0.792;-1.0;-1.0;-1.0;-0.9199999999999999;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC2,SG;-1.0;-1.0;-1.0;-1.0;0.7637795275590551;-1.0;-1.0;-1.0;-0.921259842519685;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,IPFV,LGSPEC2,SG,V;-1.0;-1.0;-1.0;-1.0;0.7637795275590551;-1.0;-1.0;-1.0;-0.921259842519685;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,PRF,PST,SG;-1.0;-1.0;-1.0;-1.0;-0.945578231292517;-1.0;-1.0;-1.0;0.8639455782312926;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,PRF,PST,SG,V;-1.0;-1.0;-1.0;-1.0;-0.945578231292517;-1.0;-1.0;-1.0;0.8639455782312926;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,PRF,SG;-1.0;-1.0;-1.0;-1.0;-0.945578231292517;-1.0;-1.0;-1.0;0.8639455782312926;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,PRF,SG,V;-1.0;-1.0;-1.0;-1.0;-0.945578231292517;-1.0;-1.0;-1.0;0.8639455782312926;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,PST,SBJV,SG;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,PST,SBJV,SG,V;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,PST,SG;-1.0;-1.0;-1.0;-1.0;-0.9508771929824562;-1.0;-1.0;-1.0;0.8877192982456141;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,PST,SG,V;-1.0;-1.0;-1.0;-1.0;-0.9508771929824562;-1.0;-1.0;-1.0;0.8877192982456141;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,SBJV,SG;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,SBJV,SG,V;-1.0;-1.0;-1.0;-1.0;-0.9565217391304348;-1.0;-1.0;-1.0;0.9130434782608696;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,SG;-1.0;-1.0;-1.0;-1.0;-0.9536423841059603;-1.0;-1.0;-1.0;0.8609271523178808;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9933774834437086;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC1,SG,V;-1.0;-1.0;-1.0;-1.0;-0.9536423841059603;-1.0;-1.0;-1.0;0.8609271523178808;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9933774834437086;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC2,PRF,PST,SG;-1.0;-1.0;-0.9852941176470589;-1.0;0.838235294117647;-1.0;-1.0;-1.0;-0.8823529411764706;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9852941176470589;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC2,PRF,PST,SG,V;-1.0;-1.0;-0.9852941176470589;-1.0;0.838235294117647;-1.0;-1.0;-1.0;-0.8823529411764706;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9852941176470589;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
1,LGSPEC2,PRF,SG;-1.0;-1.0;-0.9852941176470589;-1.0;0.838235294117647;-1.0;-1.0;-1.0;-0.8823529411764706;-1.0;-1.0;-1.0;-1.0;-1.0;-0.9852941176470589;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0
