Left,Right,Operation,Object
ortar,>,INS,s
udar,>,INS,í
dar,>,INS,í
r,>,INS,ía
ar,>,INS,í
r,>,INS,a
ar,>,INS,ía
udar,>,INS,a
dar,>,INS,a
ar,>,INS,a
udar,>,INS,ía
r,>,INS,í
dar,>,INS,ía
ar,>,INS,s
sar,>,INS,ás
eclipsar,>,INS,s
lipsar,>,INS,s
r,>,INS,s
ar,>,INS,á
r,>,INS,á
r,>,INS,ás
ar,>,INS,ás
sar,>,INS,á
sar,>,INS,s
clipsar,>,INS,s
<eclipsar,>,INS,s
ipsar,>,INS,s
psar,>,INS,s
uspir,>,INS,e
ir,>,INS,o
cuspir,>,INS,e
r,>,INS,íemos
spir,>,INS,s
uspir,>,INS,s
ir,>,INS,íemos
r,>,INS,s
r,>,INS,mos
<cuspir,>,INS,mos
<cuspir,>,INS,s
r,>,INS,os
<cuspir,>,INS,os
cuspir,>,INS,os
ir,>,INS,í
r,>,INS,emos
r,>,INS,o
pir,>,INS,e
<cuspir,>,INS,o
uspir,>,INS,o
uspir,>,INS,mos
pir,>,INS,s
cuspir,>,INS,mos
ir,>,INS,s
spir,>,INS,o
pir,>,INS,í
ir,>,INS,e
ir,>,INS,emos
r,>,INS,í
<cuspir,>,INS,í
ir,>,INS,os
uspir,>,INS,os
pir,>,INS,os
spir,>,INS,mos
uspir,>,INS,í
cuspir,>,INS,o
cuspir,>,INS,í
spir,>,INS,e
r,>,INS,e
pir,>,INS,o
<cuspir,>,INS,e
cuspir,>,INS,s
pir,>,INS,mos
spir,>,INS,í
ir,>,INS,mos
spir,>,INS,os
r,>,INS,i
rar,>,INS,é
r,>,INS,s
ar,>,INS,éis
rar,>,INS,éi
rrar,>,INS,é
rar,>,INS,éis
<aforrar,>,INS,s
ar,>,INS,éi
rrar,>,INS,s
rar,>,INS,s
r,>,INS,éi
forrar,>,INS,s
r,>,INS,éis
rrar,>,INS,i
rar,>,INS,i
ar,>,INS,i
ar,>,INS,é
aforrar,>,INS,s
r,>,INS,é
ar,>,INS,s
orrar,>,INS,s
usar,>,INS,e
<causar,>,INS,e
ar,>,INS,e
ausar,>,INS,e
r,>,INS,e
sar,>,INS,e
causar,>,INS,e
r,>,INS,é
nar,>,INS,é
onar,>,INS,é
ar,>,INS,é
sar,>,INS,s
clipsar,>,INS,s
ar,>,INS,s
<eclipsar,>,INS,a
psar,>,INS,a
r,>,INS,s
r,>,INS,as
ar,>,INS,as
sar,>,INS,as
<eclipsar,>,INS,s
r,>,INS,a
ipsar,>,INS,a
sar,>,INS,a
clipsar,>,INS,a
psar,>,INS,s
eclipsar,>,INS,s
ar,>,INS,a
lipsar,>,INS,s
ipsar,>,INS,s
lipsar,>,INS,a
eclipsar,>,INS,a
gar,>,INS,í
gar,>,INS,ía
ngar,>,INS,í
angar,>,INS,a
<acompangar,>,INS,a
pangar,>,INS,a
r,>,INS,ía
ompangar,>,INS,a
r,>,INS,a
ar,>,INS,ía
ngar,>,INS,a
ar,>,INS,í
compangar,>,INS,a
mpangar,>,INS,a
ar,>,INS,a
r,>,INS,í
gar,>,INS,a
acompangar,>,INS,a
ar,>,INS,n
ar,>,INS,do
ncar,>,INS,o
<brincar,>,INS,o
car,>,INS,o
r,>,INS,o
car,>,INS,ndo
r,>,INS,ndo
r,>,INS,do
brincar,>,INS,o
rincar,>,INS,o
ncar,>,INS,n
r,>,INS,n
incar,>,INS,n
car,>,INS,do
ar,>,INS,ndo
car,>,INS,n
incar,>,INS,o
ar,>,INS,o
<afumiar,>,INS,e
ar,>,INS,s
fumiar,>,INS,e
iar,>,INS,es
fumiar,>,INS,s
ar,>,INS,es
ar,>,INS,e
r,>,INS,e
miar,>,INS,es
r,>,INS,s
fumiar,>,INS,es
iar,>,INS,s
iar,>,INS,e
umiar,>,INS,s
afumiar,>,INS,s
<afumiar,>,INS,s
miar,>,INS,e
r,>,INS,es
afumiar,>,INS,e
miar,>,INS,s
umiar,>,INS,es
umiar,>,INS,e
ar,>,INS,a
r,>,INS,a
rar,>,INS,a
r,>,INS,ba
brar,>,INS,a
ar,>,INS,ba
rar,>,INS,ba
r,>,INS,án
ar,>,INS,án
ntar,>,INS,á
ar,>,INS,á
r,>,INS,á
r,>,INS,n
ar,>,INS,n
ntar,>,INS,án
tar,>,INS,án
ntar,>,INS,n
tar,>,INS,á
tar,>,INS,n
imentar,>,INS,e
alimentar,>,INS,s
r,>,INS,e
<alimentar,>,INS,s
mentar,>,INS,e
ar,>,INS,e
ar,>,INS,s
imentar,>,INS,s
ar,>,INS,es
entar,>,INS,s
r,>,INS,s
limentar,>,INS,e
alimentar,>,INS,e
r,>,INS,es
<alimentar,>,INS,e
entar,>,INS,es
ntar,>,INS,e
entar,>,INS,e
limentar,>,INS,s
tar,>,INS,e
ntar,>,INS,es
tar,>,INS,s
ntar,>,INS,s
mentar,>,INS,s
tar,>,INS,es
tar,>,INS,amos
ntar,>,INS,í
ar,>,INS,mos
ar,>,INS,í
axuntar,>,INS,os
xuntar,>,INS,s
ar,>,INS,amos
tar,>,INS,íamos
ntar,>,INS,amos
ntar,>,INS,o
<axuntar,>,INS,s
axuntar,>,INS,mos
<axuntar,>,INS,os
r,>,INS,a
untar,>,INS,a
ar,>,INS,a
r,>,INS,mos
xuntar,>,INS,a
axuntar,>,INS,a
ntar,>,INS,os
tar,>,INS,os
<axuntar,>,INS,mos
untar,>,INS,os
tar,>,INS,o
tar,>,INS,a
xuntar,>,INS,os
r,>,INS,os
r,>,INS,o
r,>,INS,íamos
ntar,>,INS,ía
ar,>,INS,o
<axuntar,>,INS,o
ntar,>,INS,s
ar,>,INS,ía
<axuntar,>,INS,a
r,>,INS,amos
axuntar,>,INS,o
untar,>,INS,s
tar,>,INS,ía
ar,>,INS,s
tar,>,INS,mos
ntar,>,INS,mos
xuntar,>,INS,mos
untar,>,INS,mos
xuntar,>,INS,o
ntar,>,INS,a
r,>,INS,s
tar,>,INS,í
r,>,INS,ía
ar,>,INS,os
ar,>,INS,íamos
tar,>,INS,s
axuntar,>,INS,s
r,>,INS,í
untar,>,INS,o
ar,>,INS,á
gar,>,INS,á
egar,>,INS,á
sfregar,>,INS,á
esfregar,>,INS,á
regar,>,INS,á
fregar,>,INS,á
r,>,INS,á
cribar,>,INS,s
bar,>,INS,s
r,>,INS,a
bar,>,INS,a
<cribar,>,INS,a
r,>,INS,s
r,>,INS,as
ribar,>,INS,s
ibar,>,INS,a
ar,>,INS,a
ar,>,INS,s
ibar,>,INS,s
cribar,>,INS,a
ribar,>,INS,a
ar,>,INS,as
<cribar,>,INS,s
r,>,INS,ó
ar,>,INS,ó
xar,>,INS,ó
r,>,INS,o
<llimpiar,>,INS,s
ar,>,INS,os
iar,>,INS,ía
mpiar,>,INS,s
iar,>,INS,o
ar,>,INS,mos
ar,>,INS,íamos
piar,>,INS,mos
iar,>,INS,a
ar,>,INS,í
iar,>,INS,íamos
mpiar,>,INS,o
iar,>,INS,amos
llimpiar,>,INS,o
ar,>,INS,amos
iar,>,INS,mos
ar,>,INS,s
impiar,>,INS,o
iar,>,INS,s
r,>,INS,ía
r,>,INS,a
piar,>,INS,amos
piar,>,INS,s
limpiar,>,INS,o
r,>,INS,í
piar,>,INS,o
r,>,INS,os
<llimpiar,>,INS,a
r,>,INS,íamos
piar,>,INS,í
ar,>,INS,o
impiar,>,INS,a
limpiar,>,INS,a
ar,>,INS,ía
llimpiar,>,INS,a
piar,>,INS,a
llimpiar,>,INS,s
r,>,INS,amos
piar,>,INS,os
impiar,>,INS,s
r,>,INS,s
mpiar,>,INS,a
<llimpiar,>,INS,o
iar,>,INS,os
r,>,INS,mos
ar,>,INS,a
iar,>,INS,í
limpiar,>,INS,s
piar,>,INS,ía
tar,>,INS,ó
r,>,INS,ó
ar,>,INS,ó
brar,>,INS,s
<dixebrar,>,INS,e
ar,>,INS,es
xebrar,>,INS,e
ixebrar,>,INS,e
ar,>,INS,e
<dixebrar,>,INS,s
ebrar,>,INS,e
r,>,INS,es
ixebrar,>,INS,s
r,>,INS,s
dixebrar,>,INS,s
rar,>,INS,es
r,>,INS,e
dixebrar,>,INS,e
rar,>,INS,s
brar,>,INS,e
xebrar,>,INS,s
brar,>,INS,es
rar,>,INS,e
ebrar,>,INS,s
ar,>,INS,s
der,>,INS,s
r,>,INS,ái
er,>,INS,i
stender,>,INS,s
estender,>,INS,s
er,>,INS,ái
r,>,INS,i
ender,>,INS,i
r,>,INS,áis
r,>,INS,á
er,>,INS,s
er,>,INS,á
der,>,INS,i
ender,>,INS,s
r,>,INS,s
der,>,INS,á
tender,>,INS,s
nder,>,INS,s
<estender,>,INS,s
nder,>,INS,i
er,>,INS,áis
ar,>,INS,esti
ar,>,INS,s
ar,>,INS,es
tomar,>,INS,s
mar,>,INS,e
r,>,INS,tis
omar,>,INS,i
omar,>,INS,s
<tomar,>,INS,e
r,>,INS,e
r,>,INS,estis
tomar,>,INS,e
mar,>,INS,stis
mar,>,INS,s
omar,>,INS,e
mar,>,INS,es
r,>,INS,es
ar,>,INS,i
ar,>,INS,estis
mar,>,INS,i
mar,>,INS,tis
ar,>,INS,tis
r,>,INS,stis
mar,>,INS,ti
mar,>,INS,sti
r,>,INS,sti
mar,>,INS,estis
r,>,INS,i
r,>,INS,s
<tomar,>,INS,s
ar,>,INS,e
r,>,INS,ti
ar,>,INS,ti
ar,>,INS,sti
ar,>,INS,stis
mar,>,INS,esti
r,>,INS,esti
usar,>,INS,s
usar,>,INS,a
cusar,>,INS,s
r,>,INS,ais
sar,>,INS,i
r,>,INS,ai
r,>,INS,a
sar,>,INS,ais
sar,>,INS,a
sar,>,INS,ai
r,>,INS,i
<acusar,>,INS,s
ar,>,INS,ais
r,>,INS,s
usar,>,INS,i
acusar,>,INS,s
ar,>,INS,i
sar,>,INS,s
ar,>,INS,ai
ar,>,INS,a
ar,>,INS,s
igañar,>,INS,a
r,>,INS,mos
ar,>,INS,amos
smordigañar,>,INS,s
ar,>,INS,áramos
ñar,>,INS,ramos
<esmordigañar,>,INS,os
ñar,>,INS,amos
smordigañar,>,INS,o
ordigañar,>,INS,mos
rdigañar,>,INS,mos
<esmordigañar,>,INS,mos
añar,>,INS,amos
igañar,>,INS,o
gañar,>,INS,o
digañar,>,INS,os
esmordigañar,>,INS,os
smordigañar,>,INS,os
r,>,INS,s
esmordigañar,>,INS,o
mordigañar,>,INS,mos
<esmordigañar,>,INS,s
igañar,>,INS,mos
mordigañar,>,INS,s
<esmordigañar,>,INS,a
añar,>,INS,á
añar,>,INS,o
ordigañar,>,INS,o
añar,>,INS,a
ordigañar,>,INS,s
r,>,INS,os
ar,>,INS,os
esmordigañar,>,INS,a
r,>,INS,ramos
digañar,>,INS,a
ar,>,INS,á
gañar,>,INS,os
ordigañar,>,INS,a
r,>,INS,o
ñar,>,INS,mos
añar,>,INS,mos
gañar,>,INS,a
añar,>,INS,os
ñar,>,INS,s
mordigañar,>,INS,a
ñar,>,INS,áramos
ar,>,INS,o
r,>,INS,áramos
rdigañar,>,INS,s
gañar,>,INS,s
r,>,INS,amos
ordigañar,>,INS,os
rdigañar,>,INS,a
igañar,>,INS,s
<esmordigañar,>,INS,o
ñar,>,INS,os
digañar,>,INS,s
smordigañar,>,INS,mos
r,>,INS,a
ñar,>,INS,a
gañar,>,INS,mos
digañar,>,INS,mos
r,>,INS,á
ñar,>,INS,á
rdigañar,>,INS,o
esmordigañar,>,INS,s
digañar,>,INS,o
mordigañar,>,INS,os
añar,>,INS,s
ar,>,INS,ramos
mordigañar,>,INS,o
ar,>,INS,mos
rdigañar,>,INS,os
smordigañar,>,INS,a
ar,>,INS,a
ñar,>,INS,o
esmordigañar,>,INS,mos
igañar,>,INS,os
ar,>,INS,s
otar,>,INS,e
<esplotar,>,INS,e
splotar,>,INS,e
splotar,>,INS,n
r,>,INS,e
plotar,>,INS,n
esplotar,>,INS,n
tar,>,INS,en
esplotar,>,INS,e
r,>,INS,n
lotar,>,INS,n
r,>,INS,en
otar,>,INS,en
ar,>,INS,en
otar,>,INS,n
plotar,>,INS,e
ar,>,INS,n
<esplotar,>,INS,n
lotar,>,INS,e
tar,>,INS,e
ar,>,INS,e
tar,>,INS,n
angrar,>,INS,e
ngrar,>,INS,s
ar,>,INS,es
ar,>,INS,s
<sangrar,>,INS,s
ngrar,>,INS,e
grar,>,INS,s
sangrar,>,INS,s
angrar,>,INS,s
ar,>,INS,e
grar,>,INS,e
r,>,INS,s
r,>,INS,es
r,>,INS,e
<sangrar,>,INS,e
rar,>,INS,s
rar,>,INS,es
rar,>,INS,e
sangrar,>,INS,e
r,>,INS,s
retar,>,INS,e
etar,>,INS,s
nterpretar,>,INS,s
<interpretar,>,INS,s
tar,>,INS,s
rpretar,>,INS,e
nterpretar,>,INS,e
etar,>,INS,e
tar,>,INS,e
ar,>,INS,s
erpretar,>,INS,s
interpretar,>,INS,s
ar,>,INS,e
rpretar,>,INS,s
terpretar,>,INS,s
r,>,INS,e
etar,>,INS,es
tar,>,INS,es
erpretar,>,INS,e
pretar,>,INS,e
interpretar,>,INS,e
pretar,>,INS,s
ar,>,INS,es
terpretar,>,INS,e
r,>,INS,es
<interpretar,>,INS,e
retar,>,INS,s
locar,>,INS,s
r,>,INS,a
ar,>,INS,a
ocar,>,INS,a
ar,>,INS,s
r,>,INS,uas
ar,>,INS,quas
car,>,INS,quas
r,>,INS,s
car,>,INS,uas
ar,>,INS,as
car,>,INS,s
r,>,INS,quas
<colocar,>,INS,s
ocar,>,INS,s
ar,>,INS,uas
car,>,INS,a
car,>,INS,as
r,>,INS,as
olocar,>,INS,s
colocar,>,INS,s
ir,>,INS,ere
r,>,INS,e
parir,>,INS,er
arir,>,INS,er
arir,>,INS,e
rir,>,INS,ere
<parir,>,INS,e
<parir,>,INS,er
ir,>,INS,er
ir,>,INS,e
r,>,INS,er
r,>,INS,ere
parir,>,INS,e
rir,>,INS,e
rir,>,INS,er
r,>,INS,án
ar,>,INS,án
ntar,>,INS,á
ar,>,INS,á
r,>,INS,á
r,>,INS,n
entar,>,INS,á
mentar,>,INS,n
ar,>,INS,n
ntar,>,INS,án
tar,>,INS,án
entar,>,INS,n
tar,>,INS,á
mentar,>,INS,á
ntar,>,INS,n
tar,>,INS,n
ntrenar,>,INS,s
<entrenar,>,INS,o
entrenar,>,INS,s
enar,>,INS,á
ntrenar,>,INS,á
ntrenar,>,INS,o
nar,>,INS,e
r,>,INS,á
<entrenar,>,INS,e
r,>,INS,os
renar,>,INS,s
r,>,INS,s
<entrenar,>,INS,á
entrenar,>,INS,á
ntrenar,>,INS,e
r,>,INS,ábemos
nar,>,INS,os
ar,>,INS,s
nar,>,INS,o
enar,>,INS,e
renar,>,INS,o
entrenar,>,INS,o
renar,>,INS,e
nar,>,INS,emos
enar,>,INS,os
enar,>,INS,mos
enar,>,INS,s
nar,>,INS,s
ar,>,INS,o
renar,>,INS,á
trenar,>,INS,o
r,>,INS,mos
ar,>,INS,mos
ar,>,INS,e
r,>,INS,e
nar,>,INS,á
trenar,>,INS,s
enar,>,INS,o
ar,>,INS,á
ar,>,INS,emos
r,>,INS,o
ar,>,INS,os
entrenar,>,INS,e
trenar,>,INS,á
<entrenar,>,INS,s
trenar,>,INS,e
nar,>,INS,mos
r,>,INS,emos
nar,>,INS,ábemos
ar,>,INS,ábemos
r,>,INS,bamos
dar,>,INS,ábamos
duldar,>,INS,s
ar,>,INS,á
dar,>,INS,ba
ar,>,INS,ábamos
<duldar,>,INS,s
uldar,>,INS,s
dar,>,INS,a
dar,>,INS,á
r,>,INS,os
dar,>,INS,o
ar,>,INS,a
ldar,>,INS,á
ldar,>,INS,o
r,>,INS,mos
ar,>,INS,mos
r,>,INS,s
ldar,>,INS,a
ar,>,INS,ba
ar,>,INS,amos
r,>,INS,o
r,>,INS,a
ldar,>,INS,s
ar,>,INS,o
dar,>,INS,bamos
ar,>,INS,s
r,>,INS,ba
r,>,INS,ábamos
dar,>,INS,os
ar,>,INS,os
ldar,>,INS,os
ldar,>,INS,mos
dar,>,INS,amos
ar,>,INS,bamos
dar,>,INS,s
r,>,INS,amos
r,>,INS,á
dar,>,INS,mos
ar,>,INS,á
r,>,INS,á
dar,>,INS,á
icar,>,INS,mos
car,>,INS,os
car,>,INS,e
<desplicar,>,INS,s
car,>,INS,quemos
r,>,INS,e
icar,>,INS,que
r,>,INS,os
plicar,>,INS,mos
icar,>,INS,os
r,>,INS,o
desplicar,>,INS,mos
ar,>,INS,o
licar,>,INS,mos
ar,>,INS,e
esplicar,>,INS,os
plicar,>,INS,o
r,>,INS,quemos
ar,>,INS,quemos
desplicar,>,INS,e
plicar,>,INS,e
r,>,INS,s
car,>,INS,o
licar,>,INS,e
licar,>,INS,os
<desplicar,>,INS,o
ar,>,INS,uemos
r,>,INS,ue
car,>,INS,emos
esplicar,>,INS,s
ar,>,INS,ue
ar,>,INS,os
car,>,INS,mos
esplicar,>,INS,e
car,>,INS,s
esplicar,>,INS,o
splicar,>,INS,o
splicar,>,INS,mos
r,>,INS,que
icar,>,INS,ue
<desplicar,>,INS,e
plicar,>,INS,os
ar,>,INS,mos
icar,>,INS,e
desplicar,>,INS,os
icar,>,INS,s
plicar,>,INS,s
splicar,>,INS,e
r,>,INS,emos
car,>,INS,ue
splicar,>,INS,os
icar,>,INS,emos
esplicar,>,INS,mos
<desplicar,>,INS,os
ar,>,INS,emos
car,>,INS,uemos
desplicar,>,INS,o
ar,>,INS,que
splicar,>,INS,s
licar,>,INS,o
r,>,INS,mos
r,>,INS,uemos
<desplicar,>,INS,mos
icar,>,INS,o
desplicar,>,INS,s
licar,>,INS,s
car,>,INS,que
ar,>,INS,s
piar,>,INS,ía
r,>,INS,a
empecipiar,>,INS,a
mpecipiar,>,INS,a
iar,>,INS,ía
iar,>,INS,a
ar,>,INS,ía
cipiar,>,INS,a
pecipiar,>,INS,a
ar,>,INS,í
<empecipiar,>,INS,a
piar,>,INS,a
ar,>,INS,a
piar,>,INS,í
iar,>,INS,í
r,>,INS,í
ipiar,>,INS,a
ecipiar,>,INS,a
r,>,INS,ía
r,>,INS,e
<robar,>,INS,o
<robar,>,INS,s
r,>,INS,os
ar,>,INS,e
<robar,>,INS,e
robar,>,INS,s
obar,>,INS,e
obar,>,INS,s
r,>,INS,mos
ar,>,INS,mos
robar,>,INS,o
bar,>,INS,e
obar,>,INS,o
r,>,INS,o
bar,>,INS,o
r,>,INS,s
robar,>,INS,e
bar,>,INS,os
bar,>,INS,mos
bar,>,INS,s
r,>,INS,emos
ar,>,INS,o
ar,>,INS,s
ar,>,INS,emos
ar,>,INS,os
<comparar,>,INS,a
omparar,>,INS,a
r,>,INS,a
rar,>,INS,a
mparar,>,INS,a
arar,>,INS,a
parar,>,INS,a
ar,>,INS,a
comparar,>,INS,a
tar,>,INS,é
ar,>,INS,é
antar,>,INS,é
ntar,>,INS,é
r,>,INS,é
ar,>,INS,é
rar,>,INS,é
rrar,>,INS,é
r,>,INS,é
matar,>,INS,o
atar,>,INS,os
ar,>,INS,e
r,>,INS,emos
r,>,INS,os
atar,>,INS,mos
r,>,INS,o
tar,>,INS,e
matar,>,INS,mos
<matar,>,INS,mos
ar,>,INS,mos
r,>,INS,e
<matar,>,INS,o
atar,>,INS,o
tar,>,INS,o
atar,>,INS,s
ar,>,INS,emos
<matar,>,INS,e
ar,>,INS,o
ar,>,INS,os
tar,>,INS,emos
ar,>,INS,s
<matar,>,INS,os
r,>,INS,s
tar,>,INS,os
<matar,>,INS,s
tar,>,INS,mos
matar,>,INS,e
tar,>,INS,s
atar,>,INS,e
atar,>,INS,emos
matar,>,INS,s
r,>,INS,mos
matar,>,INS,os
ar,>,INS,e
r,>,INS,emos
r,>,INS,o
<fumiar,>,INS,o
umiar,>,INS,e
miar,>,INS,s
iar,>,INS,e
umiar,>,INS,os
iar,>,INS,s
ar,>,INS,emos
iar,>,INS,emos
miar,>,INS,e
iar,>,INS,o
miar,>,INS,mos
umiar,>,INS,s
fumiar,>,INS,s
iar,>,INS,mos
miar,>,INS,o
ar,>,INS,s
fumiar,>,INS,o
r,>,INS,e
ar,>,INS,os
ar,>,INS,o
umiar,>,INS,mos
<fumiar,>,INS,e
r,>,INS,os
fumiar,>,INS,mos
iar,>,INS,os
fumiar,>,INS,os
<fumiar,>,INS,s
umiar,>,INS,o
r,>,INS,s
r,>,INS,mos
ar,>,INS,mos
miar,>,INS,os
fumiar,>,INS,e
ar,>,INS,á
r,>,INS,s
r,>,INS,áis
dar,>,INS,á
udar,>,INS,ái
audar,>,INS,i
ar,>,INS,i
ar,>,INS,s
audar,>,INS,s
<audar,>,INS,s
udar,>,INS,i
r,>,INS,ái
r,>,INS,i
udar,>,INS,s
<audar,>,INS,i
r,>,INS,á
ar,>,INS,áis
ar,>,INS,ái
dar,>,INS,s
dar,>,INS,i
udar,>,INS,á
dar,>,INS,áis
dar,>,INS,ái
ar,>,INS,ái
r,>,INS,áis
lar,>,INS,i
lar,>,INS,á
oblar,>,INS,s
r,>,INS,á
ar,>,INS,s
lar,>,INS,ái
r,>,INS,ái
lar,>,INS,s
lar,>,INS,áis
doblar,>,INS,s
ar,>,INS,áis
blar,>,INS,s
r,>,INS,i
r,>,INS,s
ar,>,INS,á
<doblar,>,INS,s
blar,>,INS,i
ar,>,INS,i
ar,>,INS,ó
r,>,INS,ó
car,>,INS,ó
trar,>,INS,a
strar,>,INS,s
r,>,INS,amos
<rexistrar,>,INS,os
r,>,INS,áramos
rar,>,INS,os
rexistrar,>,INS,os
xistrar,>,INS,a
