Left;Right;Operation;Object;MorphFeatures;Weight
jel;>;DEL;lõ;V,ACT,FIN,QUOT,POS,PRS,SG,2;0.00275652
ast;>;INS;s;N,SG,IN+ESS;0.0027553
ī;õ>;DEL;d;V,ACT,FIN,DEB,POS,PRS,PL,1;0.00268053
el;>;DEL;lõ;V,ACT,FIN,QUOT,POS,PRS,SG,2;0.0025558
tuoistõn;>;DEL;z;ADJ,SG,IN+ESS,LGSPEC6;0.00253606
tuoistõn;>;DEL;z;ADJ,SG,PRT;0.00250639
ļ;>;INS;l;N,SG,GEN;0.00248929
ūļ;>;INS;l;N,SG,GEN;0.00248676
n;dõ>;DEL;ǟ;V,ACT,FIN,QUOT,POS,PRS,PL,1;0.00246825
ņ;>;INS;īdõn;N,PL,DAT;0.00243864
l;>;DEL;lõ;V,ACT,FIN,QUOT,POS,PRS,SG,2;0.00231757
st;>;INS;s;N,SG,IN+ESS;0.00230351
a;>;INS;d;N,PL,GEN;0.00226739
uoistõn;>;DEL;z;ADJ,PL,IN+ESS;0.00224553
uoistõn;>;DEL;z;ADJ,SG,IN+ABL;0.00224285
t;>;INS;s;N,SG,IN+ESS;0.00220634
z;>;INS;ndõn;ADJ,SG,DAT;0.00220012
p;a>;DEL;ānd;V,ACT,FIN,DEB,POS,PRS,PL,1;0.00217417
kimdõ;>;DEL;z;ADJ,PL,IN+ESS;0.00202573
z;>;INS;ouvis;N,PL,IN+ESS;0.00199226
kaffe;>;INS;s;N,SG,IN+ESS;0.00198203
a;>;INS;nksmõ;V,ACT,FIN,COND,POS,PRS,PL,1;0.00198052
drūošõ;>;INS;is;ADJ,PL,IN+ESS;0.00197674
ānda;>;INS;ņ;V,ACT,FIN,IND,POS,PST,SG,1;0.00195435
<;>;DEL;ǟma;N,SG,IN+ALL;0.00188252
sadāz;>;INS;ndõd;ADJ,PL,NOM;0.0018568
<;lǟdõ>;INS;a;V,ACT,FIN,LGSPEC1,NEG,PRS,SG,1;0.00178131
pǟva;>;INS;dõks;N,PL,INS;0.00169774
mīez;>;INS;tõ;N,SG,PRT;0.00168609
tas;>;INS;sõst;N,SG,IN+ABL;0.00161399
kōdõkssadā;>;DEL;z;ADJ,PL,DAT;0.00159879
el;>;DEL;lõ;V,ACT,FIN,LGSPEC1,POS,PRS,SG,2;0.00155521
dāz;>;INS;ndiž;ADJ,PL,IN+ALL;0.00150349
vaz;>;INS;ouvis;N,PL,IN+ESS;0.00149875
az;>;INS;ouvis;N,PL,IN+ESS;0.00149702
ǟva;>;INS;d;N,PL,GEN;0.00149278
ūošõ;>;INS;is;ADJ,PL,IN+ESS;0.00148607
pǟva;>;INS;äuvõ;N,SG,IN+ALL;0.00148307
mǟdl;õ>;INS;t;V,PASS,V.PTCP;0.00148105
iņ;>;INS;īdõn;N,PL,DAT;0.00147587
s;ira>;DEL;ȭ;N,SG,PRT;0.00147138
nai;>;INS;zõs;N,SG,IN+ESS;0.00147009
dõz;>;INS;ndiž;ADJ,PL,IN+ALL;0.00145959
rūošõ;>;INS;is;ADJ,PL,IN+ESS;0.00145795
kū;>;INS;ši;N,PL,IN+ESS;0.00141744
õz;>;INS;ndõst;ADJ,SG,IN+ABL;0.00140475
dõkssadā;>;DEL;z;ADJ,PL,DAT;0.00140228
õz;>;INS;nd;ADJ,SG,GEN;0.00134853
tas;>;INS;sõdõn;N,PL,DAT;0.0013474
jel;>;DEL;lõ;V,ACT,FIN,LGSPEC1,POS,PRS,SG,2;0.00133104
lõ;>;INS;nd;V,ACT,FIN,IND,POS,FUT,PRF,PL,1,LGSPEC5;0.00132528
lõ;>;INS;nd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,1;0.0013159
īv;>;INS;õn;N,SG,DAT;0.00131044
õkssadā;>;DEL;z;ADJ,PL,DAT;0.00130306
va;>;INS;äuvšti;N,PL,IN+ABL;0.00128813
ij;>;INS;ši;N,PL,IN+ESS;0.00128745
munādkuoț;>;INS;īst;N,PL,IN+ABL;0.00125666
septembõr;>;INS;iž;N,PL,IN+ALL;0.001256
ā;>;INS;dõks;N,PL,INS;0.00121669
kssadā;>;DEL;z;ADJ,PL,DAT;0.00120439
ougust;>;INS;õd;N,PL,GEN;0.00120243
kū;>;INS;n;N,SG,DAT;0.00118942
ošõ;>;INS;is;ADJ,PL,IN+ESS;0.00118593
ffe;>;INS;s;N,SG,IN+ESS;0.00118432
ärb;>;INS;is;N,PL,IN+ESS;0.00118368
a;>;INS;ist;N,PL,IN+ABL;0.00118073
i;>;INS;z;ADJ,SG,GEN;0.00117679
õ;>;DEL;z;ADJ,PL,INS;0.00117614
i;>;INS;zt;ADJ,PL,GEN;0.0011755
šõ;>;INS;is;ADJ,PL,IN+ESS;0.00117068
in;>;DEL;ō;N,PL,IN+ABL;0.00116833
õ;>;DEL;z;ADJ,SG,IN+ESS,LGSPEC6;0.00116622
värb;>;INS;is;N,PL,IN+ESS;0.00115652
kūlõ;>;INS;iz;V,ACT,FIN,IND,POS,PST,SG,1;0.00115588
līd;õ>;INS;žt;V,ACT,FIN,IND,POS,PST,PL,2;0.00114878
ā;>;INS;s;N,SG,IN+ESS;0.00114103
a;>;INS;n;N,SG,DAT;0.00112795
l;>;DEL;lõ;V,ACT,FIN,LGSPEC1,POS,PRS,SG,2;0.00112073
ḑ;>;INS;õn;N,SG,DAT;0.00111791
n;>;DEL;ō;N,PL,IN+ABL;0.00111728
õ;>;INS;iz;V,ACT,FIN,IND,POS,PST,SG,1;0.00111666
õ;>;DEL;z;ADJ,SG,IN+ALL;0.00111549
ā;>;INS;īst;N,PL,IN+ABL;0.00111466
r;>;INS;õ;N,SG,PRT;0.00111403
m;>;INS;is;N,PL,IN+ESS;0.0010992
ssadā;>;DEL;z;ADJ,PL,DAT;0.0010934
pānda;>;INS;ņ;V,ACT,FIN,IND,POS,PST,SG,1;0.00109278
lõ;>;INS;iz;V,ACT,FIN,IND,POS,PST,SG,1;0.0010403
dā;>;DEL;z;ADJ,PL,DAT;0.0010397
lēḑ;>;INS;õn;N,SG,DAT;0.00103433
ādkuoț;>;INS;īst;N,PL,IN+ABL;0.00100329
pānda;>;INS;nksmõ;V,ACT,FIN,COND,POS,PRS,PL,1;0.00100137
ānda;>;INS;nksmõ;V,ACT,FIN,COND,POS,PRS,PL,1;0.00100005
a;>;INS;st;N,SG,IN+ABL;0.000996342
sadā;>;DEL;z;ADJ,PL,DAT;0.000994774
blēḑ;>;INS;õn;N,SG,DAT;0.000994199
piņ;>;INS;īdõn;N,PL,DAT;0.000987989
embõr;>;INS;iž;N,PL,IN+ALL;0.000923324
ēḑ;>;INS;õn;N,SG,DAT;0.000919103
rb;>;INS;is;N,PL,IN+ESS;0.000918568
õ;>;INS;is;ADJ,PL,IN+ESS;0.000906412
b;>;INS;is;N,PL,IN+ESS;0.000905159
o;>;DEL;ŗ;ADJ,SG,PRT;0.000902472
adā;>;DEL;z;ADJ,PL,DAT;0.000895633
kin;>;DEL;ō;N,PL,IN+ABL;0.000895106
nūo;>;DEL;ŗ;ADJ,SG,PRT;0.000893629
nādkuoț;>;INS;īst;N,PL,IN+ABL;0.000879043
ptembõr;>;INS;iž;N,PL,IN+ALL;0.000878523
tembõr;>;INS;iž;N,PL,IN+ALL;0.000816876
asadāz;>;INS;ndõdõn;ADJ,PL,DAT;0.000815112
a;>;INS;ņ;V,ACT,FIN,IND,POS,PST,SG,1;0.00080094
r;>;INS;iž;N,PL,IN+ALL;0.000799032
st;>;INS;õd;N,PL,GEN;0.000795324
k;>;INS;õn;N,SG,DAT;0.000791007
ust;>;INS;õd;N,PL,GEN;0.000758633
izā;>;INS;īs;N,PL,IN+ESS;0.000756302
ī;dõ>;INS;nõ;V,ACT,FIN,IND,POS,FUT,PRF,PL,2,LGSPEC6;0.000752123
ugust;>;INS;õd;N,PL,GEN;0.00075124
dkuoț;>;INS;īst;N,PL,IN+ABL;0.000750786
kievādkū;>;INS;dõn;N,PL,DAT;0.000722669
e;>;INS;s;N,SG,IN+ESS;0.000697382
ț;>;INS;īst;N,PL,IN+ABL;0.000696249
gust;>;INS;õd;N,PL,GEN;0.000687464
lī;dõ>;INS;nõ;V,ACT,FIN,IND,POS,FUT,PRF,PL,2,LGSPEC6;0.000682887
ūo;>;DEL;ŗ;ADJ,SG,PRT;0.000675939
evādkū;>;INS;dõn;N,PL,DAT;0.000630402
uoț;>;INS;īst;N,PL,IN+ABL;0.000623995
īd;õ>;INS;žt;V,ACT,FIN,IND,POS,PST,PL,2;0.000622683
kōdõkssadā;>;DEL;z;ADJ,SG,IN+ESS;0.000615431
<s;ira>;DEL;ȭ;N,SG,PRT;0.000585958
likkõ;>;INS;n;V,ACT,FIN,IND,POS,FUT,PRF,SG,2;0.000583312
jellõ;>;INS;āb;V,ACT,FIN,IND,POS,PRS,SG,3;0.000582952
zā;>;INS;īs;N,PL,IN+ESS;0.000558887
lešk;>;INS;õn;N,SG,DAT;0.000536845
ōdõkssadā;>;DEL;z;ADJ,SG,IN+ESS;0.000527841
ēļasadāz;>;INS;ndõdõn;ADJ,PL,DAT;0.000515581
nda;>;INS;nksmõ;V,ACT,FIN,COND,POS,PRS,PL,1;0.000515059
da;>;INS;nksmõ;V,ACT,FIN,COND,POS,PRS,PL,1;0.000514435
<m;>;DEL;ȭka;N,SG,IN+ALL;0.000510978
mdõ;>;DEL;z;ADJ,PL,PRT;0.000505133
ā;>;INS;īs;N,PL,IN+ESS;0.000495359
dāz;>;INS;ndõdõn;ADJ,PL,DAT;0.00049176
naš;>;INS;īdõn;ADJ,PL,DAT;0.000489625
ļasadāz;>;INS;ndõdõn;ADJ,PL,DAT;0.000484775
dõkssadā;>;DEL;z;ADJ,SG,IN+ESS;0.000471594
äbknaš;>;INS;īdõn;ADJ,PL,DAT;0.000453243
lõ;>;INS;āb;V,ACT,FIN,IND,POS,PRS,SG,3;0.000442661
aš;>;INS;īdõn;ADJ,PL,DAT;0.000442384
õkssadā;>;DEL;z;ADJ,SG,IN+ESS;0.000437532
februar;>;INS;õdõn;N,PL,DAT;0.000437001
žāsõnā;>;INS;ņži;N,PL,IN+ALL;0.000432487
polākõz;>;INS;ist;N,PL,IN+ABL;0.000418994
äbknaš;>;INS;īdõks;ADJ,PL,INS;0.000416843
janvār;>;INS;õd;N,PL,NOM;0.000416581
õkstuoistõn;>;DEL;z;ADJ,PL,NOM;0.000403526
v;lda>;DEL;ȱ;V,LGSPEC2;0.000400721
oŗkazām;>;INS;õn;N,SG,DAT;0.000399903
õ;>;INS;āb;V,ACT,FIN,IND,POS,PRS,SG,3;0.000393898
adāz;>;INS;ndõdõn;ADJ,PL,DAT;0.0003913
ikkõ;>;INS;n;V,ACT,FIN,IND,POS,FUT,PRF,SG,2;0.000390042
bknaš;>;INS;īdõks;ADJ,PL,INS;0.000389134
anvār;>;INS;õd;N,PL,NOM;0.000388887
olākõz;>;INS;ist;N,PL,IN+ABL;0.000384345
rištīng;>;INS;t;N,SG,PRT;0.000380708
vȱntsa;>;INS;õ;N,SG,PRT;0.000369011
ebruar;>;INS;õdõn;N,PL,DAT;0.000368669
<v;lda>;DEL;ȱ;V,LGSPEC2;0.000362773
kkõ;>;INS;n;V,ACT,FIN,IND,POS,FUT,PRF,SG,2;0.000358321
munādkuoț;>;INS;īd;N,PL,NOM;0.000356058
<;lda>;DEL;vȱ;V,ACT,FIN,IND,NEG,FUT,PRF,PL,3,LGSPEC5;0.000355023
nūoŗim;>;INS;iž;ADJ,PL,IN+ALL;0.00035272
märt;s>;INS;sõk;N,SG,INS;0.000348965
all;i>;INS;īž;ADJ,PL,IN+ABL;0.000345835
p;is>;DEL;ȯ;N,PL,PRT;0.000338169
ŗkazām;>;INS;õn;N,SG,DAT;0.000337308
āigast;>;INS;õ;N,SG,IN+ALL;0.000336987
ištīng;>;INS;t;N,SG,PRT;0.000336771
nūoŗm;>;DEL;īez;N,PL,IN+ESS;0.000335211
v;lda>;DEL;ȱ;V,ACT,FIN,LGSPEC1,POS,PRS,PL,1;0.000332725
tuoistõn;>;DEL;z;ADJ,PL,NOM;0.000328128
d;õ>;INS;žt;V,ACT,FIN,IND,POS,PST,PL,2;0.000326455
āz;>;INS;ndõdõn;ADJ,PL,DAT;0.000326244
alli;tas>;INS;zt;N,PL,NOM;0.00032507
sõnā;>;INS;ņži;N,PL,IN+ALL;0.000323358
knaš;>;INS;īdõks;ADJ,PL,INS;0.000323149
ȱntsa;>;INS;õ;N,SG,PRT;0.000321763
<tūld;>;DEL;a;V,ACT,FIN,LGSPEC1,POS,PRS,PL,2;0.000321555
nvār;>;INS;õd;N,PL,NOM;0.000312541
<p;is>;DEL;ȯ;N,PL,PRT;0.000312338
līd;>;DEL;õ;V,ACT,FIN,IND,POS,FUT,PRF,SG,1;0.000310654
tōvaz;>;INS;ouvõ;N,SG,GEN;0.000308297
ūoŗim;>;INS;iž;ADJ,PL,IN+ALL;0.000308083
štīng;>;INS;t;N,SG,PRT;0.000307697
affetas;>;INS;sõst;N,SG,IN+ABL;0.000306216
tuoistõn;>;DEL;z;ADJ,SG,IN+ALL;0.000299752
s;lma>;DEL;ī;N,SG,IN+ALL;0.000299444
unādkuoț;>;INS;īd;N,PL,NOM;0.000298924
kazām;>;INS;õn;N,SG,DAT;0.000294944
z;>;INS;ndõdõn;ADJ,PL,DAT;0.000292751
õ;>;INS;n;V,ACT,FIN,IND,POS,FUT,PRF,SG,2;0.000291888
ākõz;>;INS;ist;N,PL,IN+ABL;0.00028987
ntsa;>;INS;õ;N,SG,PRT;0.000289668
ärt;s>;INS;sõk;N,SG,INS;0.000289324
ōvaz;>;INS;ouvõ;N,SG,GEN;0.000288911
polākõz;>;INS;is;N,PL,IN+ESS;0.0002874
ievādkū;>;INS;dõn;N,PL,DAT;0.000286425
p;a>;DEL;ānd;V,ACT,FIN,QUOT,POS,PRS,SG,2;0.000286164
ll;i>;INS;īž;ADJ,PL,IN+ABL;0.000283315
pānda;>;INS;nmõt;V,LGSPEC4;0.000280934
<v;lda>;DEL;ȱ;V,ACT,FIN,LGSPEC1,POS,PRS,PL,1;0.000280737
strumentāl;>;INS;õks;N,SG,INS;0.000280149
sadā;>;DEL;z;ADJ,SG,IN+ESS;0.000277935
tūld;>;DEL;a;V,ACT,FIN,LGSPEC1,POS,PRS,PL,2;0.00027774
s;lma>;DEL;ī;N,SG,PRT;0.000276304
lli;tas>;INS;zt;N,PL,NOM;0.000272089
oistõnz;>;INS;dõks;ADJ,SG,INS;0.000271589
nādkuoț;>;INS;īd;N,PL,NOM;0.000268562
ruar;>;INS;õdõn;N,PL,DAT;0.000267105
oŗim;>;INS;iž;ADJ,PL,IN+ALL;0.000266848
azām;>;INS;õn;N,SG,DAT;0.00026666
ānda;>;INS;nmõt;V,LGSPEC4;0.000266334
õnā;>;INS;ņži;N,PL,IN+ALL;0.000265081
vār;>;INS;õd;N,PL,NOM;0.000264893
<nǟ;>;DEL;dõ;V,ACT,FIN,IND,NEG,PRS,SG,2;0.000264706
naš;>;INS;īdõks;ADJ,PL,INS;0.000264519
tsa;>;INS;õ;N,SG,PRT;0.000256636
olākõz;>;INS;is;N,PL,IN+ESS;0.000256299
ffetas;>;INS;sõst;N,SG,IN+ABL;0.000256117
anā;>;INS;nõ;N,SG,PRT;0.000255707
kanā;>;INS;nõ;N,SG,PRT;0.000255353
ūoŗm;>;DEL;īez;N,PL,IN+ESS;0.000255172
<lī;dõ>;INS;nõ;V,ACT,FIN,IND,POS,FUT,PRF,PL,2,LGSPEC6;0.00025354
vādkū;>;INS;dõn;N,PL,DAT;0.00025336
kalāmīe;>;DEL;z;N,PL,GEN;0.000249503
ūld;>;DEL;a;V,ACT,FIN,LGSPEC1,POS,PRS,PL,2;0.00024742
t;oi>;DEL;u;ADJ,SG,PRT;0.000246004
nǟ;>;DEL;dõ;V,ACT,FIN,IND,NEG,PRS,SG,2;0.000244789
tīng;>;INS;t;N,SG,PRT;0.000244544
gast;>;INS;õ;N,SG,IN+ALL;0.000244369
<kež;>;INS;äd;N,SG,GEN;0.000244195
kūlõ;>;INS;s;V,LGSPEC2;0.000243954
lākõz;>;INS;is;N,PL,IN+ESS;0.000240524
pānda;>;INS;nnõd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,1;0.000240188
alāmīe;>;DEL;z;N,PL,GEN;0.000239617
kõz;>;INS;ist;N,PL,IN+ABL;0.000238142
adā;>;DEL;z;ADJ,SG,IN+ESS;0.000237972
rt;s>;INS;sõk;N,SG,INS;0.000237748
uar;>;INS;õdõn;N,PL,DAT;0.000237578
alī;>;DEL;z;N,PL,IN+ESS;0.0002373
vaz;>;INS;ouvõ;N,SG,GEN;0.00023713
ast;>;INS;õ;N,SG,IN+ALL;0.0002368
jel;>;DEL;lõ;V,ACT,FIN,IND,NEG,PST,SG,2;0.00023663
aš;>;INS;īdõks;ADJ,PL,INS;0.000236194
l;i>;INS;īž;ADJ,PL,IN+ABL;0.000236025
nā;>;INS;ņži;N,PL,IN+ALL;0.000235855
knaš;>;INS;īdõn;ADJ,PL,DAT;0.000235506
l;õ>;DEL;ǟd;V,ACT,FIN,DEB,POS,PRS,PL,1;0.000234523
rumentāl;>;INS;õks;N,SG,INS;0.000231961
zām;>;INS;õn;N,SG,DAT;0.000228275
oŗm;>;DEL;īez;N,PL,IN+ESS;0.000228111
ŗim;>;INS;iž;ADJ,PL,IN+ALL;0.000227946
kež;>;INS;äd;N,SG,GEN;0.000227676
fetas;>;INS;sõst;N,SG,IN+ABL;0.000225854
ār;>;INS;õd;N,PL,NOM;0.000222819
īd;>;DEL;õ;V,ACT,FIN,IND,POS,FUT,PRF,SG,1;0.000222658
ld;>;DEL;a;V,ACT,FIN,LGSPEC1,POS,PRS,PL,2;0.000222456
ǟva;>;INS;äuvõ;N,SG,IN+ALL;0.00022161
ānda;>;INS;nnõd;V,ACT,FIN,IND,NEG,FUT,PRF,PL,1;0.000221058
llõ;>;INS;āb;V,ACT,FIN,IND,POS,PRS,SG,3;0.00021964
dkū;>;INS;dõn;N,PL,DAT;0.000219481
kež;>;INS;ži;N,PL,PRT;0.000219
ǟm;>;DEL;a;N,PL,PRT;0.000215821
õz;>;INS;ist;N,PL,IN+ABL;0.000215665
kimdõ;>;DEL;z;ADJ,SG,IN+ESS;0.000213258
<s;lma>;DEL;ī;N,SG,PRT;0.000212949
li;tas>;INS;zt;N,PL,NOM;0.000212795
sadāz;>;INS;ndõdõks;ADJ,PL,INS;0.000212561
tīep;>;DEL;ǟva;N,SG,PRT;0.000210739
īng;>;INS;t;N,SG,PRT;0.000210584
<l;õ>;DEL;ǟd;V,ACT,FIN,DEB,POS,PRS,PL,1;0.000210432
lī;>;DEL;z;N,PL,IN+ESS;0.000208585
el;>;DEL;lõ;V,ACT,FIN,IND,NEG,PST,SG,2;0.000208273
ǟ;>;DEL;dõ;V,ACT,FIN,IND,NEG,PRS,SG,2;0.000206897
as;>;INS;sõdõn;N,PL,DAT;0.000206551
kõ;>;INS;n;V,ACT,FIN,IND,POS,FUT,PRF,SG,2;0.000203525
va;>;INS;st;N,SG,IN+ABL;0.000203377
dā;>;DEL;z;ADJ,SG,IN+ESS;0.000202282
sa;>;INS;õ;N,SG,PRT;0.000202135
īep;>;DEL;ǟva;N,SG,PRT;0.000201972
nā;>;INS;nõ;N,SG,PRT;0.000201719
ež;>;INS;ži;N,PL,PRT;0.000201453
m;>;DEL;a;N,PL,PRT;0.000201266
žmi;>;INS;ztõn;ADJ,PL,DAT;0.000200927
sadā;>;DEL;z;ADJ,PL,PRT;0.00020071
ākõz;>;INS;is;N,PL,IN+ESS;0.000199355
i;tas>;INS;zt;N,PL,NOM;0.000199145
adāz;>;INS;ndõdõks;ADJ,PL,INS;0.000198873
r;>;INS;õd;N,PL,NOM;0.000196368
d;>;DEL;õ;V,ACT,FIN,IND,POS,FUT,PRF,SG,1;0.000196225
t;s>;INS;sõk;N,SG,INS;0.000194835
ar;>;INS;õdõn;N,PL,DAT;0.000194692
ež;>;INS;äd;N,SG,GEN;0.000194431
