Left;Right;Operation;Object;MorphFeatures;Weight
a;rsi>;INS;e;V,COND,2,SG;0.000942718
disostruir;>;DEL;e;V,IND,FUT,2,SG;0.000938744
zz;e>;DEL;ar;V,IND,FUT,3,PL;0.000932609
li;e>;DEL;r;V,SBJV,PST,3,SG;0.000932387
izz;>;DEL;are;V,IND,PRS,2,SG;0.000932165
g;re>;DEL;a;V,COND,2,PL;0.000931729
umersi;>;INS;a;V,POS,IMP,3,SG;0.000925511
e;>;INS;gono;V,IND,PRS,3,PL;0.00089872
tt;>;DEL;are;V,SBJV,PRS,1,SG;0.00089588
z;e>;DEL;ar;V,IND,FUT,3,PL;0.000895478
zz;>;DEL;are;V,SBJV,PRS,2,SG;0.000895264
a;re>;INS;e;V,COND,2,PL;0.000885457
sumersi;>;INS;a;V,POS,IMP,3,SG;0.00088524
ostruir;>;DEL;e;V,IND,FUT,2,SG;0.000885028
assumersi;>;INS;a;V,POS,IMP,3,SG;0.000881695
isostruir;>;DEL;e;V,IND,FUT,2,SG;0.000881484
rappegg;re>;DEL;ia;V,COND,1,SG;0.000880904
a;re>;INS;e;V,COND,3,SG;0.00087639
are;>;INS;i;V,SBJV,PRS,1,SG;0.000867901
are;>;INS;vo;V,IND,PST,1,SG,IPFV;0.00086735
rs;i>;INS;t;V,COND,2,SG;0.000866027
are;>;INS;mo;V,IND,FUT,1,PL;0.00086385
a;re>;INS;e;V,IND,FUT,2,PL;0.000863451
n;re>;DEL;a;V,COND,1,PL;0.000856837
are;>;INS;rò;V,IND,FUT,1,SG;0.000854973
are;>;INS;rai;V,IND,FUT,2,SG;0.000854743
t;re>;DEL;ra;V,IND,FUT,2,SG;0.000854092
are;>;INS;no;V,IND,PRS,3,PL;0.000850123
rsi;>;INS;a;V,SBJV,PRS,1,SG;0.000849454
a;re>;INS;e;V,IND,FUT,1,PL;0.000847138
are;>;INS;ino;V,POS,IMP,3,PL;0.000846932
t;>;DEL;are;V,SBJV,PRS,1,SG;0.000836663
z;>;DEL;are;V,IND,PRS,2,SG;0.000836138
zz;>;DEL;are;V,IND,PRS,2,SG;0.000824278
i;e>;DEL;r;V,SBJV,PST,3,SG;0.000824076
re;>;INS;hino;V,POS,IMP,3,PL;0.000823688
struir;>;DEL;e;V,IND,FUT,2,SG;0.00081666
declam;>;DEL;are;V,SBJV,PRS,3,PL;0.00081646
r;e>;INS;vat;V,IND,PST,2,PL,IPFV;0.00078396
lam;>;DEL;are;V,SBJV,PRS,3,PL;0.000773869
clam;>;DEL;are;V,SBJV,PRS,3,PL;0.000772276
gg;re>;DEL;ia;V,COND,1,SG;0.000771376
r;e>;INS;ebb;V,COND,3,SG;0.000770858
re;>;INS;to;V.PTCP,PST;0.000768627
orizz;re>;DEL;a;V,IND,FUT,1,PL;0.000766402
re;>;INS;vamo;V,IND,PST,1,PL,IPFV;0.000761574
a;e>;DEL;r;V,SBJV,PRS,2,PL;0.000759805
r;e>;INS;t;V,SBJV,PRS,2,PL;0.000757442
r;e>;INS;t;V,POS,IMP,2,PL;0.000755689
re;>;INS;bbero;V,COND,3,PL;0.000753635
r;e>;INS;st;V,IND,PST,2,PL,PFV;0.000753141
d;e>;DEL;er;V,IND,PST,2,SG,IPFV;0.000752918
truir;>;DEL;e;V,IND,FUT,2,SG;0.000749708
anizz;arsi>;INS;i;V,POS,IMP,1,PL;0.000744095
insonorizz;re>;DEL;a;V,IND,FUT,1,PL;0.000722032
z;>;DEL;are;V,SBJV,PRS,2,SG;0.000718301
zz;arsi>;INS;i;V,POS,IMP,1,PL;0.000710312
are;>;INS;vano;V,IND,PST,3,PL,IPFV;0.000699063
appegg;re>;DEL;ia;V,COND,1,SG;0.000698424
ersi;>;INS;a;V,POS,IMP,3,SG;0.000684864
e;>;INS;o;V,IND,PRS,1,SG;0.000677859
a;>;DEL;re;V.PTCP,PST;0.000674558
e;>;INS;rà;V,IND,FUT,3,SG;0.000671068
a;>;DEL;re;V,SBJV,PST,1,PL;0.000670393
a;>;DEL;re;V,IND,PST,1,PL,IPFV;0.000669365
e;>;INS;ai;V,IND,FUT,2,SG;0.000666639
a;>;DEL;rsi;V,IND,PRS,3,SG;0.000664869
a;>;DEL;rsi;V,IND,PRS,3,PL;0.000664678
r;>;DEL;e;V,SBJV,PST,3,PL;0.000662913
a;>;DEL;re;V,SBJV,PRS,1,PL;0.000661337
g;>;DEL;ersi;V,POS,IMP,3,PL;0.000660958
a;>;DEL;re;V,IND,PRS,3,PL;0.000659394
a;>;DEL;re;V,IND,PST,1,SG,IPFV;0.000659016
r;>;DEL;e;V,IND,FUT,1,SG;0.000655882
eclam;>;DEL;are;V,SBJV,PRS,3,PL;0.00065314
imung;>;DEL;ere;V,SBJV,PRS,3,SG;0.000651399
ppegg;re>;DEL;ia;V,COND,1,SG;0.000650359
izz;arsi>;INS;i;V,POS,IMP,1,PL;0.000650174
ienti;si>;DEL;r;V,IND,PRS,3,PL;0.00064906
sonorizz;re>;DEL;a;V,IND,FUT,1,PL;0.000646613
are;>;INS;i;V,COND,1,SG;0.000619119
onorizz;re>;DEL;a;V,IND,FUT,1,PL;0.000610957
prodig;>;DEL;arsi;V,IND,FUT,1,PL;0.000603839
ruir;>;DEL;e;V,IND,FUT,2,SG;0.000597613
z;arsi>;INS;i;V,POS,IMP,1,PL;0.000559705
si;>;INS;a;V,POS,IMP,3,SG;0.000553561
uir;>;DEL;e;V,IND,FUT,2,SG;0.000543171
g;re>;DEL;ia;V,COND,1,SG;0.000542808
zz;re>;DEL;a;V,IND,FUT,1,PL;0.000514141
pazienti;si>;DEL;r;V,IND,PRS,3,PL;0.00050948
rizz;re>;DEL;a;V,IND,FUT,1,PL;0.000503269
rimung;>;DEL;ere;V,SBJV,PRS,3,SG;0.000502843
enti;si>;DEL;r;V,IND,PRS,3,PL;0.000502698
sichi;e>;DEL;r;V,SBJV,PST,2,PL;0.000501991
ionf;re>;DEL;a;V,IND,FUT,1,PL;0.000501846
azienti;si>;DEL;r;V,IND,PRS,3,PL;0.000482336
nti;si>;DEL;r;V,IND,PRS,3,PL;0.000466671
rionf;re>;DEL;a;V,IND,FUT,1,PL;0.00042907
z;re>;DEL;a;V,IND,FUT,1,PL;0.000395545
dig;>;DEL;arsi;V,IND,FUT,1,PL;0.000395226
ung;>;DEL;ere;V,SBJV,PRS,3,SG;0.000395112
uperavvolg;e>;DEL;er;V,IND,PST,2,SG,IPFV;0.000391071
rodig;>;DEL;arsi;V,IND,FUT,1,PL;0.000375931
sp;ere>;DEL;erd;V,IND,PST,3,SG,PFV;0.000375568
odig;>;DEL;arsi;V,IND,FUT,1,PL;0.000349247
ti;si>;DEL;r;V,IND,PRS,3,PL;0.000349146
p;ere>;DEL;erd;V,IND,PST,3,SG,PFV;0.000348817
g;>;DEL;arsi;V,IND,FUT,1,PL;0.000323237
r;>;DEL;ire;V,IND,PST,3,SG,PFV;0.000322838
disp;ere>;DEL;erd;V,IND,PST,3,SG,PFV;0.000320754
avvolg;e>;DEL;er;V,IND,PST,2,SG,IPFV;0.000320661
re;>;INS;i;V,COND,1,SG;0.000309261
isp;ere>;DEL;erd;V,IND,PST,3,SG,PFV;0.000303059
ng;>;DEL;ere;V,SBJV,PRS,3,SG;0.000295447
ig;>;DEL;arsi;V,IND,FUT,1,PL;0.000295361
ichi;e>;DEL;r;V,SBJV,PST,2,PL;0.00028537
g;>;DEL;ere;V,SBJV,PRS,3,SG;0.000268743
garr;>;DEL;ire;V,IND,PST,3,SG,PFV;0.000267769
superavvolg;e>;DEL;er;V,IND,PST,2,SG,IPFV;0.000257022
zia;>;DEL;rsi;V,IND,PST,1,SG,IPFV;0.000250173
arr;>;DEL;ire;V,IND,PST,3,SG,PFV;0.000250101
peravvolg;e>;DEL;er;V,IND,PST,2,SG,IPFV;0.00023979
re;>;INS;vano;V,IND,PST,3,PL,IPFV;0.000233989
rr;>;DEL;ire;V,IND,PST,3,SG,PFV;0.000232457
ia;>;DEL;rsi;V,IND,PST,1,SG,IPFV;0.000232389
tisichi;e>;DEL;r;V,SBJV,PST,2,PL;0.00022247
ravvolg;e>;DEL;er;V,IND,PST,2,SG,IPFV;0.000222405
trionf;re>;DEL;a;V,IND,FUT,1,PL;0.00022234
denunzia;>;DEL;rsi;V,IND,PST,1,SG,IPFV;0.000222275
a;>;DEL;rsi;V,IND,PST,1,SG,IPFV;0.000214658
isichi;e>;DEL;r;V,SBJV,PST,2,PL;0.000213621
enunzia;>;DEL;rsi;V,IND,PST,1,SG,IPFV;0.000213559
nunzia;>;DEL;rsi;V,IND,PST,1,SG,IPFV;0.000204967
volg;e>;DEL;er;V,IND,PST,2,SG,IPFV;0.000196372
onf;re>;DEL;a;V,IND,FUT,1,PL;0.000196315
unzia;>;DEL;rsi;V,IND,PST,1,SG,IPFV;0.000196258
rincantuccia;>;DEL;rsi;V,IND,PRS,2,PL;0.000192849
chi;e>;DEL;r;V,SBJV,PST,2,PL;0.000187612
nf;re>;DEL;a;V,IND,FUT,1,PL;0.000187558
travestirsi;>;INS;ono;V,IND,PST,3,PL,PFV;0.000183424
presce;liere>;DEL;g;V.PTCP,PST;0.000183351
hi;e>;DEL;r;V,SBJV,PST,2,PL;0.000178869
lg;e>;DEL;er;V,IND,PST,2,SG,IPFV;0.000178817
cantuccia;>;DEL;rsi;V,IND,PRS,2,PL;0.000176746
ncantuccia;>;DEL;rsi;V,IND,PRS,2,PL;0.000174461
convenirsi;>;INS;ne;V,IND,PST,3,SG,PFV;0.00017441
g;e>;DEL;er;V,IND,PST,2,SG,IPFV;0.000170095
indebol;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.000168373
onvenirsi;>;INS;ne;V,IND,PST,3,SG,PFV;0.00016612
avestirsi;>;INS;ono;V,IND,PST,3,PL,PFV;0.000166071
ripopol;i>;DEL;ars;V,SBJV,PRS,3,PL;0.000162903
cartapecori;>;DEL;re;V,IND,PST,3,SG,IPFV;0.000162618
resce;liere>;DEL;g;V.PTCP,PST;0.000162231
sserragl;i>;DEL;iars;V,POS,IMP,3,PL;0.000160717
sperper;re>;DEL;a;V,COND,2,PL;0.00016067
ipopol;i>;DEL;ars;V,SBJV,PRS,3,PL;0.000158788
vestirsi;>;INS;ono;V,IND,PST,3,PL,PFV;0.000158164
irconfond;e>;DEL;er;V,IND,PRS,3,SG;0.000156073
ndebol;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.000155355
serragl;i>;DEL;iars;V,POS,IMP,3,PL;0.000153584
sce;liere>;DEL;g;V.PTCP,PST;0.000153539
venirsi;>;INS;ne;V,IND,PST,3,SG,PFV;0.000150926
estirsi;>;INS;ono;V,IND,PST,3,PL,PFV;0.000150882
ce;liere>;DEL;g;V.PTCP,PST;0.000150827
gobbi;si>;DEL;r;V,IND,PST,2,SG,PFV;0.000150751
artapecori;>;DEL;re;V,IND,PST,3,SG,IPFV;0.000149933
espo;e>;DEL;rr;V,IND,PST,2,PL,PFV;0.000148894
erper;re>;DEL;a;V,COND,2,PL;0.000146888
rtapecori;>;DEL;re;V,IND,PST,3,SG,IPFV;0.000144731
ngobbi;si>;DEL;r;V,IND,PST,2,SG,PFV;0.000144334
ssangua;i>;DEL;rs;V,IND,FUT,2,SG;0.000144217
popol;i>;DEL;ars;V,SBJV,PRS,3,PL;0.000144051
enirsi;>;INS;ne;V,IND,PST,3,SG,PFV;0.000144009
tuccia;>;DEL;rsi;V,IND,PRS,2,PL;0.000143967
bol;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.000143916
obbi;si>;DEL;r;V,IND,PST,2,SG,PFV;0.000143847
smantell;re>;DEL;a;V,COND,2,PL;0.000143679
are;>;INS;ò;V,IND,PST,3,SG,PFV;0.000143359
uccia;>;DEL;rsi;V,IND,PRS,2,PL;0.000143122
are;>;INS;mmo;V,COND,1,PL;0.000143043
are;>;INS;mo;V,IND,PRS,1,PL;0.000142906
erragl;i>;DEL;iars;V,POS,IMP,3,PL;0.000142547
ebol;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.000142505
oncern;>;DEL;ere;V,SBJV,PRS,2,SG;0.000140373
tapecori;>;DEL;re;V,IND,PST,3,SG,IPFV;0.000139349
confond;e>;DEL;er;V,IND,PRS,3,SG;0.000139296
opol;i>;DEL;ars;V,SBJV,PRS,3,PL;0.000137565
e;liere>;DEL;g;V.PTCP,PST;0.00013709
inum;re>;DEL;a;V,COND,2,SG;0.00013705
rper;re>;DEL;a;V,COND,2,PL;0.000137009
rragl;i>;DEL;iars;V,POS,IMP,3,PL;0.000136969
um;re>;DEL;a;V,COND,2,SG;0.000136271
ol;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.000134723
per;re>;DEL;a;V,COND,2,PL;0.000134684
antell;re>;DEL;a;V,COND,2,PL;0.000134625
sinibi;i>;DEL;rs;V,POS,IMP,1,PL;0.000134517
ncorpor;>;DEL;are;V,SBJV,PRS,3,PL;0.000134447
udere;>;INS;vi;V,IND,PST,2,SG,IPFV;0.000134207
izza;si>;DEL;r;V,SBJV,PST,3,SG;0.000133703
disinibi;i>;DEL;rs;V,POS,IMP,1,PL;0.00013346
issangua;i>;DEL;rs;V,IND,FUT,2,SG;0.000133421
num;re>;DEL;a;V,COND,2,SG;0.000131787
p;orre>;INS;ongan;V,POS,IMP,3,PL;0.000131676
irsi;>;INS;ono;V,IND,PST,3,PL,PFV;0.000131604
irsi;>;INS;ne;V,IND,PST,3,SG,PFV;0.000131566
spo;e>;DEL;rr;V,IND,PST,2,PL,PFV;0.000131527
sostitu;>;DEL;ire;V,IND,PST,3,SG,PFV;0.000130449
opp;orre>;INS;ongan;V,POS,IMP,3,PL;0.0001304
sangua;i>;DEL;rs;V,IND,FUT,2,SG;0.000130362
ostitu;>;DEL;ire;V,IND,PST,3,SG,PFV;0.000129994
tell;re>;DEL;a;V,COND,2,PL;0.000129956
becc;re>;DEL;a;V,COND,3,SG;0.000129918
pp;orre>;INS;ongan;V,POS,IMP,3,PL;0.000129863
rsi;>;INS;ono;V,IND,PST,3,PL,PFV;0.000129818
arsi;>;INS;nno;V,IND,FUT,3,PL;0.000129241
er;re>;DEL;a;V,COND,2,PL;0.000129051
car;e>;INS;h;V,IND,FUT,1,SG;0.000128951
ncern;>;DEL;ere;V,SBJV,PRS,2,SG;0.000128606
ol;i>;DEL;ars;V,SBJV,PRS,3,PL;0.000127973
po;e>;DEL;rr;V,IND,PST,2,PL,PFV;0.000127935
rsi;>;INS;ne;V,IND,PST,3,SG,PFV;0.000127898
l;ire>;INS;ist;V,IND,PST,2,SG,PFV;0.000126745
agl;i>;DEL;iars;V,POS,IMP,3,PL;0.000126708
cern;>;DEL;ere;V,SBJV,PRS,2,SG;0.000126665
ll;re>;DEL;a;V,COND,2,PL;0.000126599
arsi;>;INS;erò;V,IND,FUT,1,SG;0.00012644
a;>;DEL;re;V,IND,PST,2,SG,PFV;0.000126402
nfond;e>;DEL;er;V,IND,PRS,3,SG;0.000126255
egluti;>;DEL;re;V,IND,PST,1,PL,IPFV;0.000126167
desca;re>;INS;he;V,IND,FUT,2,PL;0.000125919
m;re>;DEL;a;V,COND,2,SG;0.000125872
ecori;>;DEL;re;V,IND,PST,3,SG,IPFV;0.000125537
ecc;re>;DEL;a;V,COND,3,SG;0.000125493
enere;>;INS;ssi;V,SBJV,PST,2,SG;0.000125456
a;si>;DEL;r;V,SBJV,PST,1,SG;0.000124599
incorpor;>;DEL;are;V,SBJV,PRS,3,PL;0.00012456
ertucc;re>;DEL;ia;V,IND,FUT,1,PL;0.000124511
sbertucc;re>;DEL;ia;V,IND,FUT,1,PL;0.000124298
are;>;INS;ssi;V,SBJV,PST,2,SG;0.000124238
are;>;INS;mo;V,POS,IMP,1,PL;0.000124172
rsi;>;INS;ate;V,SBJV,PRS,2,PL;0.000124037
bi;si>;DEL;r;V,IND,PST,2,SG,PFV;0.000123857
cori;>;DEL;re;V,IND,PST,3,SG,IPFV;0.000123811
cc;re>;DEL;a;V,COND,3,SG;0.00012376
are;>;INS;ino;V,SBJV,PRS,3,PL;0.000123701
a;si>;DEL;r;V,IND,PST,2,SG,PFV;0.000123661
ere;>;INS;a;V,SBJV,PRS,3,SG;0.000123576
i;re>;INS;sse;V,SBJV,PST,3,PL;0.000123399
angua;i>;DEL;rs;V,IND,FUT,2,SG;0.000122343
inibi;i>;DEL;rs;V,POS,IMP,1,PL;0.000122304
ell;re>;DEL;a;V,COND,2,PL;0.000122208
fond;e>;DEL;er;V,IND,PRS,3,SG;0.000122169
nibi;i>;DEL;rs;V,POS,IMP,1,PL;0.000122123
o;e>;DEL;rr;V,IND,PST,2,PL,PFV;0.000122042
si;>;INS;ne;V,IND,PST,3,SG,PFV;0.000122003
ar;e>;INS;nt;V.PTCP,PRS;0.000121783
gl;i>;DEL;iars;V,POS,IMP,3,PL;0.000121528
r;re>;DEL;a;V,COND,2,PL;0.000121489
ern;>;DEL;ere;V,SBJV,PRS,2,SG;0.000121445
fotter;ene>;DEL;s;V,COND,3,SG;0.000121318
tter;ene>;DEL;s;V,COND,3,SG;0.000121083
ttacc;re>;DEL;a;V,COND,3,PL;0.000121044
rtucc;re>;DEL;ia;V,IND,FUT,1,PL;0.000121005
si;>;INS;ono;V,IND,PST,3,PL,PFV;0.000120403
l;i>;DEL;ars;V,SBJV,PRS,3,PL;0.000120364
c;re>;DEL;a;V,COND,3,SG;0.000119546
i;e>;DEL;r;V,IND,PRS,3,SG;0.00011925
r;e>;INS;et;V,IND,FUT,2,PL;0.000119123
re;>;INS;i;V,SBJV,PRS,2,SG;0.000119052
re;>;INS;iamo;V,POS,IMP,1,PL;0.000119007
a;i>;DEL;rs;V,POS,IMP,1,PL;0.000118967
r;e>;INS;t;V,IND,PRS,2,PL;0.00011891
adesca;re>;INS;he;V,IND,FUT,2,PL;0.000118833
otter;ene>;DEL;s;V,COND,3,SG;0.000118793
intristi;>;DEL;re;V,POS,IMP,3,SG;0.000118741
spellere;>;INS;ulsi;V,IND,PST,1,SG,PFV;0.000118701
