Object,1,2,3,ACC,ACT,ADJ,ANIM,COND,DAT,ESS,FEM,FORM,GEN,IMP,INAN,IND,INS,MASC,N,NEUT,NOM,PASS,PL,PRF,PRS,PST,SG,V,V.CVB,V.PTCP,VOC
INS(li),X,-,-,-,X,-,X,-,-,-,X,-,-,-,-,X,-,X,-,X,-,-,X,X,-,X,-,X,-,X,-
INS(lo),-,-,X,-,X,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,X,-,X,X,X,-,X,-
INS(ly),-,-,X,-,X,-,-,-,-,-,X,-,-,-,X,X,-,X,-,-,-,-,X,X,-,X,-,X,-,X,-
INS(m),-,-,-,-,-,X,-,-,X,X,-,-,-,-,-,-,X,X,-,X,-,-,X,-,-,-,X,-,-,-,-
INS(mi),-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,-,X,-,X,-,-,-,X,-,-,-,-,-,-,-,-
INS(o),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,X
INS(ou),-,-,-,X,-,X,-,-,-,-,X,-,-,-,-,-,X,-,X,-,-,-,-,-,-,-,X,-,-,-,-
INS(s),-,X,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,X,-,X,-,-,X,-,-,-
INS(u),-,X,-,X,-,-,X,-,X,X,-,-,X,-,X,X,-,-,X,-,-,-,-,-,X,-,X,X,-,-,X
INS(v),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,X,-,X,-,-
INS(y),-,-,-,X,-,-,-,-,-,-,-,-,X,-,-,-,X,-,X,-,X,-,X,-,-,-,X,-,-,-,X
INS(á),-,-,X,X,-,X,-,-,-,-,X,-,-,-,-,X,-,-,-,X,X,-,X,-,X,-,X,X,-,-,X
INS(é),-,-,-,X,-,X,-,-,X,X,X,-,X,-,-,-,-,X,X,X,X,-,X,-,-,-,X,-,-,-,X
INS(ého),-,-,-,X,-,X,X,-,-,-,-,-,X,-,-,-,-,X,-,X,-,-,-,-,-,-,X,-,-,-,-
INS(ém),-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,X,-,-,-,-
INS(ému),-,-,-,-,-,X,-,-,X,-,-,-,-,-,-,-,-,X,-,X,-,-,-,-,-,-,X,-,-,-,-
INS(í),-,-,X,-,-,X,X,-,-,-,-,-,X,-,-,X,X,X,X,-,X,-,X,-,X,-,X,X,-,-,X
INS(ě),-,-,-,-,-,-,-,-,X,X,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,X,-,-,-,-
INS(ů),-,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-
INS(ům),-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,-,-,-,-,-
INS(‎),-,-,-,X,-,X,-,-,-,X,X,-,-,-,-,-,-,-,-,-,-,-,X,-,-,-,X,-,-,-,X
