Source;Target;Combined;Inserts;Deletes;Grammar
slimais;slimajiem;slimaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,GEN,PL,MASC
vissīriskākais;vissīriskāko;vissīriskākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,MASC
viszviedriskākais;viszviedriskākā;viszviedriskākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,ACC,SG,MASC
dziedzeris;dziedzerus;dziedzerDEL(i)INS(u)s;INS(u);DEL(i);N,ACC,PL
tapirs;tapiri;tapirDEL(s)INS(i);INS(i);DEL(s);N,NOM,PL
vainīgākais;vainīgāko;vainīgākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,DAT,SG,FEM
kailākais;kailākajām;kailākaDEL(is)INS(jām);INS(jām);DEL(is);ADJ,DAT,PL,FEM
sīkākais;sīkākajās;sīkākaDEL(i)INS(jā)s;INS(jā);DEL(i);ADJ,INST,PL,FEM
sārtums;sārtumu;sārtumDEL(s)INS(u);INS(u);DEL(s);N,ACC,SG
bagātīgāks;bagātīgākas;bagātīgākINS(a)s;INS(a);;ADJ,NOM,PL,FEM
bagātināt;bagātināja;bagātināDEL(t)INS(ja);INS(ja);DEL(t);V,3,PL,PST,IND
etnogrāfiskais;etnogrāfiskās;etnogrāfiskDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,NOM,PL,FEM
auglība;auglība;auglība;;;N,NOM,SG
vispolitiskākais;vispolitiskākajiem;vispolitiskākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,GEN,PL,MASC
nabadzīgāks;nabadzīgākus;nabadzīgākINS(u)s;INS(u);;ADJ,NOM,PL,MASC
biklība;biklībā;biklībDEL(a)INS(ā);INS(ā);DEL(a);N,LOC,SG
nazāls;nazālā;nazālDEL(s)INS(ā);INS(ā);DEL(s);ADJ,INST,SG,MASC
centrālais;centrālās;centrālDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,NOM,PL,FEM
ticamāks;ticamākām;ticamākDEL(s)INS(ām);INS(ām);DEL(s);ADJ,DAT,PL,FEM
maķedoniskais;maķedoniskos;maķedoniskDEL(ai)INS(o)s;INS(o);DEL(ai);ADJ,NOM,PL,MASC
nedancot;lai nedanco;INS(lai )nedancoDEL(t);INS(lai );DEL(t);V,3,PL,IMP
iepelēks;iepelēkam;iepelēkDEL(s)INS(am);INS(am);DEL(s);ADJ,GEN,SG,MASC
tūplis;tūpļi;tūpDEL(l)INS(ļ)iDEL(s);INS(ļ);DEL(l),DEL(s);N,NOM,PL
slovākiskākais;slovākiskāko;slovākiskākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,DAT,SG,MASC
toksiskākais;toksiskāko;toksiskākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,ACC,PL,MASC
raženākais;raženāko;raženākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,MASC
veselība;veselībai;veselībaINS(i);INS(i);;N,DAT,SG
visizdarīgākais;visizdarīgāko;visizdarīgākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,FEM
dvīne;dvīnes;dvīneINS(s);INS(s);;N,GEN,SG
adrese;adresi;adresDEL(e)INS(i);INS(i);DEL(e);N,INST,SG
neatkarīgāks;neatkarīgākā;neatkarīgākDEL(s)INS(ā);INS(ā);DEL(s);ADJ,INST,SG,FEM
mazākais;mazākie;mazākDEL(a)iDEL(s)INS(e);INS(e);DEL(a),DEL(s);ADJ,LOC,PL,MASC
nabadzīgākais;nabadzīgākā;nabadzīgākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,LOC,SG,FEM
pērnējais;pērnējo;pērnējDEL(ais)INS(o);INS(o);DEL(ais);ADJ,ACC,PL,FEM
aukstais;aukstās;aukstDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,LOC,PL,FEM
vārīt;vāru;vārDEL(īt)INS(u);INS(u);DEL(īt);V,1,SG,PRS,IND
slovākiskais;slovākisko;slovākiskDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,MASC
aklums;aklumu;aklumDEL(s)INS(u);INS(u);DEL(s);N,INST,SG
viskonkrētākais;viskonkrētāko;viskonkrētākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,DAT,SG,FEM
strādīgs;strādīgiem;strādīgDEL(s)INS(iem);INS(iem);DEL(s);ADJ,DAT,PL,MASC
eksistēšana;eksistēšanu;eksistēšanDEL(a)INS(u);INS(u);DEL(a);N,INST,SG
mest;meta;meDEL(s)tINS(a);INS(a);DEL(s);V,3,PL,PST,IND
vissmilšainākais;vissmilšainākā;vissmilšainākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,LOC,SG,FEM
ķerpers;ķerperos;ķerperINS(o)s;INS(o);;N,LOC,PL
vismiesīgākais;vismiesīgākajiem;vismiesīgākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,DAT,PL,MASC
sirmākais;sirmākajos;sirmākaDEL(i)INS(jo)s;INS(jo);DEL(i);ADJ,INST,PL,MASC
dzeltānākais;dzeltānākajiem;dzeltānākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,DAT,PL,MASC
dzērvene;dzērvenes;dzērveneINS(s);INS(s);;N,ACC,PL
arējs;arējiem;arējDEL(s)INS(iem);INS(iem);DEL(s);N,INST,PL
rudāks;rudāku;rudākDEL(s)INS(u);INS(u);DEL(s);ADJ,DAT,SG,MASC
nepiemirst;nepiemirsīsim;nepiemirsDEL(t)INS(īsim);INS(īsim);DEL(t);V,1,PL,FUT,IND
labklājība;labklājību;labklājībDEL(a)INS(u);INS(u);DEL(a);N,ACC,SG
lielainums;lielainumam;lielainuINS(ma)mDEL(s);INS(ma);DEL(s);N,DAT,SG
strādāt;strādās;strādāDEL(t)INS(s);INS(s);DEL(t);V,3,PL,FUT,IND
vismīkstākais;vismīkstākajiem;vismīkstākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,GEN,PL,MASC
vismīkstākais;vismīkstāko;vismīkstākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,ACC,PL,MASC
pūst;esot jāpūš;INS(esot jā)pūDEL(st)INS(š);INS(esot jā),INS(š);DEL(st);V,LGSPEC2,LGSPEC7
stingrais;stingrajiem;stingraINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,DAT,PL,MASC
visražīgākais;visražīgākās;visražīgākDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,LOC,PL,FEM
naudas maks;naudas maks;naudas maks;;;N,NOM,SG
kosoviskais;kosoviskajā;kosoviskaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,FEM
visizdarīgākais;visizdarīgākais;visizdarīgākais;;;ADJ,LOC,SG,MASC
jēlāks;jēlāku;jēlākDEL(s)INS(u);INS(u);DEL(s);ADJ,NOM,SG,MASC
netaustīt;netaustīt;netaustīt;;;V,NFIN
nedzirdīgākais;nedzirdīgākajā;nedzirdīgākaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,MASC
necepināt;necepināšana;necepināDEL(t)INS(šana);INS(šana);DEL(t);V,V.MSDR
humānistiskais;humānistiskā;humānistiskDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,LOC,SG,FEM
likumīgākais;likumīgākās;likumīgākDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,NOM,PL,FEM
vispurvainākais;vispurvainākajā;vispurvainākaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,MASC
saldenāks;saldenākus;saldenākINS(u)s;INS(u);;ADJ,NOM,PL,MASC
visvēlākais;visvēlākajai;visvēlākINS(aj)aiDEL(s);INS(aj);DEL(s);ADJ,GEN,SG,FEM
asiņainais;asiņainajam;asiņainaDEL(is)INS(jam);INS(jam);DEL(is);ADJ,GEN,SG,MASC
nedejošana;nedejošanas;nedejošanaINS(s);INS(s);;N,GEN,SG
ģeogrāfe;ģeogrāfei;ģeogrāfeINS(i);INS(i);;N,DAT,SG
ķēve;ķēve;ķēve;;;N,VOC,SG
kļūdaināks;kļūdaināku;kļūdainākDEL(s)INS(u);INS(u);DEL(s);ADJ,ACC,PL,FEM
miksts;mikstu;mikstDEL(s)INS(u);INS(u);DEL(s);ADJ,DAT,SG,MASC
metafiziskāks;metafiziskāku;metafiziskākDEL(s)INS(u);INS(u);DEL(s);ADJ,DAT,SG,MASC
topogrāfe;topogrāfes;topogrāfeINS(s);INS(s);;N,VOC,PL
vistransparentākais;vistransparentākajā;vistransparentākaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,MASC
pilnīgs;pilnīgām;pilnīgDEL(s)INS(ām);INS(ām);DEL(s);ADJ,DAT,PL,FEM
dregnākais;dregnākajos;dregnākaDEL(i)INS(jo)s;INS(jo);DEL(i);ADJ,INST,PL,MASC
aplikt;aplikšana;aplikDEL(t)INS(šana);INS(šana);DEL(t);V,V.MSDR
veselāks;veselākā;veselākDEL(s)INS(ā);INS(ā);DEL(s);ADJ,INST,SG,FEM
īslandiskākais;īslandiskākajiem;īslandiskākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,GEN,PL,MASC
golfs;golf;golfDEL(s);;DEL(s);N,VOC,SG
visgrieķiskākais;visgrieķiskāko;visgrieķiskākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,DAT,SG,FEM
vismazākais;vismazāko;vismazākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,ACC,PL,FEM
caurredzamākais;caurredzamāko;caurredzamākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,DAT,SG,FEM
necept;necepšot;necepINS(šo)t;INS(šo);;V,LGSPEC1,FUT
komfortablākais;komfortablākajām;komfortablākaDEL(is)INS(jām);INS(jām);DEL(is);ADJ,GEN,PL,FEM
neiztulkot;neiztulkojis;neiztulkoDEL(t)INS(jis);INS(jis);DEL(t);V,V.PTCP,PST,ACT
dzīves biedrene;dzīves biedrenes;dzīves biedreneINS(s);INS(s);;N,GEN,SG
vislikumīgākais;vislikumīgākajos;vislikumīgākaDEL(i)INS(jo)s;INS(jo);DEL(i);ADJ,INST,PL,MASC
pērns;pērnam;pērnDEL(s)INS(am);INS(am);DEL(s);ADJ,GEN,SG,MASC
žirgts;žirgtām;žirgtDEL(s)INS(ām);INS(ām);DEL(s);ADJ,DAT,PL,FEM
visgaršīgākais;visgaršīgākā;visgaršīgākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,LOC,SG,FEM
meitenīgāks;meitenīgākai;meitenīgākDEL(s)INS(ai);INS(ai);DEL(s);ADJ,GEN,SG,FEM
vājdzirdīgais;vājdzirdīgo;vājdzirdīgDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,FEM
neiedzert;neiedzers;neiedzerDEL(t)INS(s);INS(s);DEL(t);V,3,PL,FUT,IND
sociālists;sociālistu;sociālistDEL(s)INS(u);INS(u);DEL(s);N,INST,SG
rakstāmmašīna;rakstāmmašīnai;rakstāmmašīnaINS(i);INS(i);;N,DAT,SG
interesantāks;interesantākā;interesantākDEL(s)INS(ā);INS(ā);DEL(s);ADJ,INST,SG,FEM
visskaidrākais;visskaidrākajās;visskaidrākaDEL(i)INS(jā)s;INS(jā);DEL(i);ADJ,INST,PL,FEM
visskaļākais;visskaļākā;visskaļākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,ACC,SG,MASC
uzsvars;uzsvar;uzsvarDEL(s);;DEL(s);N,VOC,SG
birka;birkām;birkDEL(a)INS(ām);INS(ām);DEL(a);N,DAT,PL
vistuklākais;vistuklākajā;vistuklākaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,MASC
plēst;lai plēšot;INS(lai )plēDEL(s)INS(šo)t;INS(lai ),INS(šo);DEL(s);V,LGSPEC1,IMP
neredzēties;neredzoties;neredzDEL(ē)INS(o)ties;INS(o);DEL(ē);V,V.PTCP,PRS,LGSPEC5
rasainais;rasainās;rasainDEL(ai)INS(ā)s;INS(ā);DEL(ai);ADJ,LOC,PL,FEM
iebrūns;iebrūnā;iebrūnDEL(s)INS(ā);INS(ā);DEL(s);ADJ,INST,SG,MASC
pētīt;esot pētījis;INS(esot )pētīDEL(t)INS(jis);INS(esot ),INS(jis);DEL(t);V,LGSPEC1,PST
tirdziniece;tirdziniecēm;tirdziniecDEL(e)INS(ēm);INS(ēm);DEL(e);N,INST,PL
strauļais;strauļā;strauļDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,ACC,SG,MASC
kāškrusts;kāškrustu;kāškrustDEL(s)INS(u);INS(u);DEL(s);N,INST,SG
krieviskākais;krieviskākajiem;krieviskākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,GEN,PL,MASC
ēdienreize;ēdienreizi;ēdienreizDEL(e)INS(i);INS(i);DEL(e);N,INST,SG
amerikāniskākais;amerikāniskākajam;amerikāniskākaDEL(is)INS(jam);INS(jam);DEL(is);ADJ,GEN,SG,MASC
neparastība;neparastības;neparastībaINS(s);INS(s);;N,GEN,SG
rubīdijs;rubīdijā;rubīdijDEL(s)INS(ā);INS(ā);DEL(s);N,LOC,SG
nāves sods;nāves sodus;nāves sodINS(u)s;INS(u);;N,ACC,PL
portugālisks;portugāliskā;portugāliskDEL(s)INS(ā);INS(ā);DEL(s);ADJ,INST,SG,MASC
apstāklis;apstākļos;apstākDEL(li)INS(ļo)s;INS(ļo);DEL(li);N,LOC,PL
dakšiņa;dakšiņas;dakšiņaINS(s);INS(s);;N,ACC,PL
zvīņains;zvīņainā;zvīņainDEL(s)INS(ā);INS(ā);DEL(s);ADJ,INST,SG,MASC
draudzīgāks;draudzīgākos;draudzīgākINS(o)s;INS(o);;ADJ,INST,PL,MASC
trulāks;trulākai;trulākDEL(s)INS(ai);INS(ai);DEL(s);ADJ,GEN,SG,FEM
otrs;otram;otrDEL(s)INS(am);INS(am);DEL(s);ADJ,GEN,SG,MASC
rakstīt;lai raksta;INS(lai )raksDEL(tī)tINS(a);INS(lai ),INS(a);DEL(tī);V,3,PL,IMP
dzert;dzerot;dzerINS(o)t;INS(o);;V,V.PTCP,PRS,LGSPEC5
vistumšākais;vistumšāko;vistumšākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,NOM,SG,FEM
beļģiete;beļģietē;beļģietDEL(e)INS(ē);INS(ē);DEL(e);N,LOC,SG
neprātīgāks;neprātīgāku;neprātīgākDEL(s)INS(u);INS(u);DEL(s);ADJ,ACC,PL,FEM
vieglākais;vieglākajām;vieglākaDEL(is)INS(jām);INS(jām);DEL(is);ADJ,DAT,PL,FEM
visracionālistiskākais;visracionālistiskākos;visracionālistiskākDEL(ai)INS(o)s;INS(o);DEL(ai);ADJ,NOM,PL,MASC
viszviedriskākais;viszviedriskākajiem;viszviedriskākaINS(j)iDEL(s)INS(em);INS(j),INS(em);DEL(s);ADJ,GEN,PL,MASC
prostituēt;prostituējot;prostituēINS(jo)t;INS(jo);;V,V.PTCP,PRS,LGSPEC5
visgaršīgākais;visgaršīgākajam;visgaršīgākaDEL(is)INS(jam);INS(jam);DEL(is);ADJ,GEN,SG,MASC
baidīties;esot jābaidās;INS(esot jā)baidDEL(ītie)INS(ā)s;INS(esot jā),INS(ā);DEL(ītie);V,LGSPEC2,LGSPEC7
fonoloģe;fonoloģēs;fonoloģDEL(e)INS(ēs);INS(ēs);DEL(e);N,LOC,PL
ābols;ābols;ābols;;;N,NOM,SG
blondīns;blondīnu;blondīnDEL(s)INS(u);INS(u);DEL(s);N,ACC,SG
karalauks;karalauka;karalaukDEL(s)INS(a);INS(a);DEL(s);N,GEN,SG
komfortablākais;komfortablākā;komfortablākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,LOC,SG,FEM
sātaniste;sātanistēs;sātanistDEL(e)INS(ēs);INS(ēs);DEL(e);N,LOC,PL
abstraktākais;abstraktākajā;abstraktākaDEL(is)INS(jā);INS(jā);DEL(is);ADJ,INST,SG,FEM
asinsvads;asinsvadus;asinsvadINS(u)s;INS(u);;N,ACC,PL
pateikt;pateiks;pateikDEL(t)INS(s);INS(s);DEL(t);V,3,PL,FUT,IND
saldenāks;saldenākiem;saldenākDEL(s)INS(iem);INS(iem);DEL(s);ADJ,DAT,PL,MASC
visšķīstākais;visšķīstākais;visšķīstākais;;;ADJ,LOC,SG,MASC
vismēļākais;vismēļāko;vismēļākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,ACC,PL,MASC
reliģiskākais;reliģiskākā;reliģiskākDEL(ais)INS(ā);INS(ā);DEL(ais);ADJ,ACC,SG,MASC
visbrūnākais;visbrūnākais;visbrūnākais;;;ADJ,LOC,SG,MASC
vishorvātiskākais;vishorvātiskāko;vishorvātiskākDEL(ais)INS(o);INS(o);DEL(ais);ADJ,DAT,SG,FEM
