Source;Left;Right;Operation;Object;Grammar
hvellur;<hvellu;>;DEL;r;N,DEF,DAT,SG
hvellur;<hvellur;>;INS;m;N,DEF,DAT,SG
nafli;<nafl;>;DEL;i;N,DEF,ACC,PL
nafli;<nafli;>;INS;ana;N,DEF,ACC,PL
glópur;<glóp;r>;DEL;u;N,INDF,NOM,PL
glópur;<glópu;r>;INS;a;N,INDF,NOM,PL
krimmi;<krimm;>;DEL;i;N,DEF,ACC,PL
krimmi;<krimmi;>;INS;ana;N,DEF,ACC,PL
skerða;<skerð;>;DEL;a;V,SBJV,PRS,2,SG
skerða;<skerða;>;INS;ir;V,SBJV,PRS,2,SG
njóta;<n;>;DEL;jóta;V,SBJV,PST,1,SG
njóta;<njóta;>;INS;yti;V,SBJV,PST,1,SG
sæskrímsli;<sæskrímsli;>;INS;ð;N,DEF,ACC,SG
aðgangur;<aðgang;>;DEL;ur;N,INDF,DAT,SG
aðgangur;<aðgangur;>;INS;i;N,INDF,DAT,SG
tína;<tín;>;DEL;a;V,IND,PST,2,PL
tína;<tína;>;INS;duð;V,IND,PST,2,PL
nemi;<nemi;>;INS;nn;N,DEF,NOM,SG
augnlæknir;<augnlækn;>;DEL;ir;N,DEF,ACC,PL
augnlæknir;<augnlæknir;>;INS;ana;N,DEF,ACC,PL
létta;<létt;>;DEL;a;V,IND,PRS,2,SG
létta;<létta;>;INS;ir;V,IND,PRS,2,SG
bókfinka;<bókfink;a>;INS;urn;N,DEF,NOM,PL
bókfinka;<bókfinka;>;INS;r;N,DEF,NOM,PL
hámark;<hámark;>;INS;i;N,INDF,DAT,SG
gler;<gler;>;INS;ið;N,DEF,NOM,SG
hneppa;<hnepp;>;DEL;a;V,SBJV,PRS,1,PL
hneppa;<hneppa;>;INS;um;V,SBJV,PRS,1,PL
sönglag;<sönglag;>;INS;sins;N,DEF,GEN,SG
sinfóníuhljómsveit;<sinfóníuhljómsveit;>;INS;ir;N,INDF,ACC,PL
ómur;<óm;>;DEL;ur;N,DEF,ACC,SG
ómur;<ómur;>;INS;inn;N,DEF,ACC,SG
lundi;<lundi;>;INS;nn;N,DEF,NOM,SG
skjóla;<skjól;a>;INS;ann;N,DEF,GEN,PL
leiðsögumaður;<leiðsögum;>;DEL;aður;N,INDF,NOM,PL
leiðsögumaður;<leiðsögumaður;>;INS;enn;N,INDF,NOM,PL
undirflokkur;<undirflokk;>;DEL;ur;N,INDF,ACC,PL
undirflokkur;<undirflokkur;>;INS;a;N,INDF,ACC,PL
þvegill;<þvegi;l>;DEL;l;N,INDF,ACC,SG
kvelja;<kv;a>;DEL;elj;V,IND,PST,3,SG
kvelja;<kvelja;>;INS;ldi;V,IND,PST,3,SG
flóð;<flóð;>;INS;anna;N,DEF,GEN,PL
dregill;<dreg;l>;DEL;il;N,DEF,DAT,PL
dregill;<dregill;>;INS;unum;N,DEF,DAT,PL
pabbi;<pabb;>;DEL;i;N,DEF,DAT,SG
pabbi;<pabbi;>;INS;anum;N,DEF,DAT,SG
mjólka;<mjólk;>;DEL;a;V,SBJV,PRS,1,SG
mjólka;<mjólka;>;INS;i;V,SBJV,PRS,1,SG
miði;<mið;>;DEL;i;N,INDF,ACC,SG
miði;<miði;>;INS;a;N,INDF,ACC,SG
Íri;<Ír;>;DEL;i;N,INDF,GEN,PL
Íri;<Íri;>;INS;a;N,INDF,GEN,PL
fimleikar;<fimleik;>;DEL;ar;N,INDF,DAT,SG
fimleikar;<fimleikar;>;INS;um;N,INDF,DAT,SG
hald;<hald;>;INS;ið;N,DEF,NOM,SG
kennd;<kennd;>;INS;unum;N,DEF,DAT,PL
gervill;<gervi;l>;DEL;l;N,DEF,GEN,SG
gervill;<gervill;>;INS;sins;N,DEF,GEN,SG
ófrjósemi;<ófrjósemi;>;INS;nnar;N,DEF,GEN,SG
endurræsa;<endurræs;>;DEL;a;V,SBJV,PST,1,PL
endurræsa;<endurræsa;>;INS;tum;V,SBJV,PST,1,PL
seiva;<seiv;>;DEL;a;V,IND,PRS,2,PL
seiva;<seiva;>;INS;ið;V,IND,PRS,2,PL
trega;<treg;>;DEL;a;V,SBJV,PRS,2,PL
trega;<trega;>;INS;ið;V,SBJV,PRS,2,PL
landfræði;<landfræði;>;INS;na;N,DEF,ACC,SG
hópkynlíf;<hópkynlíf;>;INS;sins;N,DEF,GEN,SG
hneggja;<hneggja;>;INS;ðir;V,SBJV,PST,2,SG
hæka;<hæk;a>;INS;ann;N,DEF,GEN,PL
sníða;<sn;>;DEL;íða;V,SBJV,PST,1,SG
sníða;<sníða;>;INS;iði;V,SBJV,PST,1,SG
funi;<fun;>;DEL;i;N,DEF,DAT,PL
funi;<funi;>;INS;unum;N,DEF,DAT,PL
skjaldbaka;<skjaldbak;a>;INS;ann;N,DEF,GEN,PL
sement;<sement;>;INS;s;N,INDF,GEN,SG
systir;<syst;r>;DEL;i;N,INDF,ACC,PL
systir;<systi;r>;INS;u;N,INDF,ACC,PL
lyklaborð;<lyklaborð;>;INS;i;N,INDF,DAT,SG
sveit;<sveit;>;INS;ina;N,DEF,ACC,SG
landslið;<landslið;>;INS;s;N,INDF,GEN,SG
apamaður;<apam;aður>;INS;ennin;N,DEF,ACC,PL
apamaður;<apama;>;DEL;ður;N,DEF,ACC,PL
foss;<foss;>;INS;a;N,INDF,ACC,PL
nefnifall;<nefnif;ll>;DEL;a;N,INDF,NOM,PL
nefnifall;<nefnifa;ll>;INS;ö;N,INDF,NOM,PL
tálma;<tálm;>;DEL;a;V,SBJV,PRS,2,SG
tálma;<tálma;>;INS;ir;V,SBJV,PRS,2,SG
merking;<merking;>;INS;u;N,INDF,DAT,SG
saumur;<saum;ur>;INS;n;N,DEF,DAT,SG
saumur;<saumu;>;DEL;r;N,DEF,DAT,SG
saumur;<saumur;>;INS;m;N,DEF,DAT,SG
sæða;<sæð;>;DEL;a;V,SBJV,PRS,1,SG
sæða;<sæða;>;INS;i;V,SBJV,PRS,1,SG
gervill;<gerv;l>;DEL;il;N,INDF,GEN,PL
gervill;<gervill;>;INS;a;N,INDF,GEN,PL
flæmingi;<flæming;>;DEL;i;N,DEF,ACC,PL
flæmingi;<flæmingi;>;INS;jana;N,DEF,ACC,PL
treyja;<treyj;>;DEL;a;N,INDF,DAT,PL
treyja;<treyja;>;INS;um;N,INDF,DAT,PL
leikmynd;<leikmynd;>;INS;ar;N,INDF,GEN,SG
kál;<kál;>;INS;s;N,INDF,GEN,SG
kaffivél;<kaffivél;>;INS;ar;N,INDF,NOM,PL
eyrugla;<eyrugl;a>;INS;un;N,DEF,ACC,SG
engi;<engi;>;INS;n;N,DEF,ACC,PL
strokka;<strokk;>;DEL;a;V,SBJV,PST,3,PL
strokka;<strokka;>;INS;uðu;V,SBJV,PST,3,PL
æsingur;<æsing;ur>;INS;n;N,DEF,DAT,SG
æsingur;<æsingu;>;DEL;r;N,DEF,DAT,SG
æsingur;<æsingur;>;INS;m;N,DEF,DAT,SG
kjóll;<kjó;l>;DEL;l;N,INDF,ACC,PL
kjóll;<kjóll;>;INS;a;N,INDF,ACC,PL
undirflokkur;<undirflokk;>;DEL;ur;N,DEF,ACC,PL
undirflokkur;<undirflokkur;>;INS;ana;N,DEF,ACC,PL
heimsyfirráð;<heimsyfirráð;>;INS;in;N,DEF,NOM,SG
vísa;<vís;a>;INS;urn;N,DEF,NOM,PL
vísa;<vísa;>;INS;r;N,DEF,NOM,PL
hagfræði;<hagfræð;i>;INS;inn;N,DEF,DAT,SG
ljósbjalla;<ljósbj;lla>;DEL;a;N,DEF,ACC,PL
ljósbjalla;<ljósbja;lla>;INS;ö;N,DEF,ACC,PL
ljósbjalla;<ljósbjall;a>;INS;urn;N,DEF,ACC,PL
ljósbjalla;<ljósbjalla;>;INS;r;N,DEF,ACC,PL
tjörn;<tjörn;>;INS;unum;N,DEF,DAT,PL
skóli;<skóli;>;INS;nn;N,DEF,NOM,SG
skeiðklukka;<skeiðklukka;>;INS;n;N,DEF,NOM,SG
tylla;<tyll;>;DEL;a;V,IND,PST,3,SG
tylla;<tylla;>;INS;ti;V,IND,PST,3,SG
bógur;<bóg;>;DEL;ur;N,INDF,GEN,SG
bógur;<bógur;>;INS;s;N,INDF,GEN,SG
fákur;<fák;>;DEL;ur;N,DEF,GEN,PL
fákur;<fákur;>;INS;anna;N,DEF,GEN,PL
hjálp;<hjálp;>;INS;a;N,INDF,GEN,PL
ökumaður;<ökuma;>;DEL;ður;N,DEF,ACC,SG
ökumaður;<ökumaður;>;INS;nninn;N,DEF,ACC,SG
hnésbót;<hnésbót;>;INS;arinnar;N,DEF,GEN,SG
skop;<skop;>;INS;s;N,INDF,GEN,SG
gemsi;<gems;>;DEL;i;N,INDF,DAT,SG
gemsi;<gemsi;>;INS;a;N,INDF,DAT,SG
kunta;<kunt;a>;INS;un;N,DEF,ACC,SG
meistari;<meistar;>;DEL;i;N,DEF,ACC,PL
meistari;<meistari;>;INS;ana;N,DEF,ACC,PL
undiroka;<undirok;>;DEL;a;V,IMP,2,PL
undiroka;<undiroka;>;INS;ið;V,IMP,2,PL
sætta;<sætt;>;DEL;a;V,IND,PST,3,PL
sætta;<sætta;>;INS;u;V,IND,PST,3,PL
þylja;<þ;>;DEL;ylja;V,IND,PST,3,PL
þylja;<þylja;>;INS;uldu;V,IND,PST,3,PL
bölvun;<bölv;n>;DEL;u;N,DEF,NOM,PL
bölvun;<bölvu;n>;INS;a;N,DEF,NOM,PL
bölvun;<bölvun;>;INS;irnar;N,DEF,NOM,PL
söngkona;<söngko;na>;INS;nur;N,DEF,ACC,PL
söngkona;<söngkona;>;INS;r;N,DEF,ACC,PL
gagnagrunnur;<gagnagrunn;>;DEL;ur;N,INDF,DAT,SG
gagnagrunnur;<gagnagrunnur;>;INS;i;N,INDF,DAT,SG
rýra;<rýr;>;DEL;a;V,IND,PST,1,SG
rýra;<rýra;>;INS;ði;V,IND,PST,1,SG
fóarn;<fó;rn>;DEL;a;N,DEF,DAT,PL
fóarn;<fóa;rn>;INS;ö;N,DEF,DAT,PL
fóarn;<fóarn;>;INS;unum;N,DEF,DAT,PL
osmín;<osmín;>;INS;inu;N,DEF,DAT,SG
klippur;<klipp;>;DEL;ur;N,INDF,GEN,SG
klippur;<klippur;>;INS;a;N,INDF,GEN,SG
sprok;<sprok;>;INS;um;N,INDF,DAT,PL
friður;<frið;ur>;INS;in;N,DEF,DAT,SG
friður;<friðu;>;DEL;r;N,DEF,DAT,SG
friður;<friður;>;INS;m;N,DEF,DAT,SG
gripur;<grip;>;DEL;ur;N,DEF,ACC,SG
gripur;<gripur;>;INS;inn;N,DEF,ACC,SG
eingyðistrú;<eingyðistrú;>;INS;rnar;N,DEF,ACC,PL
svíri;<svír;>;DEL;i;N,DEF,DAT,SG
svíri;<svíri;>;INS;anum;N,DEF,DAT,SG
gervitunglamynd;<gervitunglamynd;>;INS;irnar;N,DEF,ACC,PL
svæfa;<svæfa;>;INS;ndi;V.PTCP,PRS
dáti;<dát;>;DEL;i;N,INDF,DAT,PL
dáti;<dáti;>;INS;um;N,INDF,DAT,PL
stofupíanó;<stofupíanó;>;INS;unum;N,DEF,DAT,PL
öxl;<öxl;>;INS;um;N,INDF,DAT,PL
þjónusta;<þjónust;>;DEL;a;N,INDF,NOM,PL
þjónusta;<þjónusta;>;INS;ur;N,INDF,NOM,PL
afmælisbarn;<afmælisbarn;>;INS;i;N,INDF,DAT,SG
kviður;<kvið;r>;DEL;u;N,DEF,GEN,SG
kviður;<kviðu;r>;INS;a;N,DEF,GEN,SG
kviður;<kviður;>;INS;ins;N,DEF,GEN,SG
kennari;<kenn;>;DEL;ari;N,INDF,DAT,PL
kennari;<kennari;>;INS;urum;N,INDF,DAT,PL
kvistur;<kvist;>;DEL;ur;N,INDF,DAT,SG
kvistur;<kvistur;>;INS;i;N,INDF,DAT,SG
keyra;<keyr;>;DEL;a;V,IND,PRS,1,SG
keyra;<keyra;>;INS;i;V,IND,PRS,1,SG
útiloka;<útiloka;>;INS;ðir;V,SBJV,PST,2,SG
kítta;<kítt;>;DEL;a;V,SBJV,PST,2,PL
kítta;<kítta;>;INS;uðuð;V,SBJV,PST,2,PL
kvenmaður;<kvenma;>;DEL;ður;N,DEF,ACC,SG
kvenmaður;<kvenmaður;>;INS;nninn;N,DEF,ACC,SG
þarfaþing;<þarfaþing;>;INS;s;N,INDF,GEN,SG
goði;<goð;>;DEL;i;N,INDF,NOM,PL
goði;<goði;>;INS;ar;N,INDF,NOM,PL
hjalt;<hj;lt>;DEL;a;N,INDF,NOM,PL
hjalt;<hja;lt>;INS;ö;N,INDF,NOM,PL
pyngja;<pyngj;a>;INS;un;N,DEF,ACC,SG
kaup;<kaup;>;INS;anna;N,DEF,GEN,PL
léttir;<létt;>;DEL;ir;N,DEF,GEN,PL
léttir;<léttir;>;INS;anna;N,DEF,GEN,PL
aflagssögn;<aflagssögn;>;INS;ina;N,DEF,ACC,SG
hjala;<hjal;>;DEL;a;V,SBJV,PRS,3,PL
hjala;<hjala;>;INS;i;V,SBJV,PRS,3,PL
skýla;<skýla;>;INS;ndi;V.PTCP,PRS
nota;<nota;>;INS;ði;V,IND,PST,3,SG
framlag;<framlag;>;INS;anna;N,DEF,GEN,PL
hræsni;<hræsni;>;INS;nnar;N,DEF,GEN,SG
búningur;<búning;>;DEL;ur;N,INDF,ACC,PL
búningur;<búningur;>;INS;a;N,INDF,ACC,PL
píka;<pík;a>;INS;urn;N,DEF,ACC,PL
píka;<píka;>;INS;r;N,DEF,ACC,PL
útiloka;<útilok;>;DEL;a;V,SBJV,PRS,1,PL
útiloka;<útiloka;>;INS;um;V,SBJV,PRS,1,PL
sópa;<sópa;>;INS;ndi;V.PTCP,PRS
drepa;<dr;a>;DEL;ep;V,IND,PST,2,SG
drepa;<drepa;>;INS;pst;V,IND,PST,2,SG
græða;<græ;ða>;INS;ði;V,IMP,2,PL
græða;<græð;>;DEL;a;V,IMP,2,PL
hjálparsögn;<hjálparsögn;>;INS;ina;N,DEF,ACC,SG
met;<met;>;INS;sins;N,DEF,GEN,SG
fantur;<fant;>;DEL;ur;N,INDF,GEN,PL
fantur;<fantur;>;INS;a;N,INDF,GEN,PL
skógur;<skóg;>;DEL;ur;N,INDF,ACC,PL
skógur;<skógur;>;INS;a;N,INDF,ACC,PL
stræti;<stræti;>;INS;nu;N,DEF,DAT,SG
kafbátur;<kafbát;>;DEL;ur;N,INDF,DAT,SG
kafbátur;<kafbátur;>;INS;i;N,INDF,DAT,SG
miðvörður;<miðvörður;>;INS;inn;N,DEF,NOM,SG
gé;<gé;>;INS;i;N,INDF,DAT,SG
alba;<;lba>;DEL;a;N,DEF,NOM,PL
alba;<a;lba>;INS;ö;N,DEF,NOM,PL
alba;<alb;a>;INS;urn;N,DEF,NOM,PL
alba;<alba;>;INS;r;N,DEF,NOM,PL
makka;<m;kka>;DEL;a;V,SBJV,PST,3,PL
makka;<ma;kka>;INS;ö;V,SBJV,PST,3,PL
makka;<makk;>;DEL;a;V,SBJV,PST,3,PL
makka;<makka;>;INS;uðu;V,SBJV,PST,3,PL
agi;<;>;DEL;agi;N,INDF,DAT,PL
agi;<agi;>;INS;ögum;N,INDF,DAT,PL
snekkja;<snekkja;>;INS;n;N,DEF,NOM,SG
klipping;<klipping;>;INS;unni;N,DEF,DAT,SG
matareitrun;<matareitr;n>;DEL;u;N,INDF,GEN,PL
matareitrun;<matareitru;n>;INS;a;N,INDF,GEN,PL
matareitrun;<matareitrun;>;INS;a;N,INDF,GEN,PL
pexa;<pex;>;DEL;a;V,IMP,2,PL
pexa;<pexa;>;INS;ið;V,IMP,2,PL
dráttur;<dráttu;>;DEL;r;N,INDF,DAT,PL
dráttur;<dráttur;>;INS;m;N,INDF,DAT,PL
staða;<st;>;DEL;aða;N,INDF,DAT,PL
staða;<staða;>;INS;öðum;N,INDF,DAT,PL
vakt;<vakt;>;INS;irnar;N,DEF,NOM,PL
stjörnuvindur;<stjörnuvind;>;DEL;ur;N,DEF,GEN,PL
stjörnuvindur;<stjörnuvindur;>;INS;anna;N,DEF,GEN,PL
kristþyrnir;<kristþyrni;>;DEL;r;N,INDF,DAT,SG
rafstöð;<rafstöð;>;INS;vanna;N,DEF,GEN,PL
vigur;<vig;r>;DEL;u;N,INDF,DAT,PL
vigur;<vigur;>;INS;um;N,INDF,DAT,PL
skordýr;<skordýr;>;INS;in;N,DEF,ACC,PL
lindi;<lind;>;DEL;i;N,INDF,ACC,PL
lindi;<lindi;>;INS;a;N,INDF,ACC,PL
handrit;<handrit;>;INS;inu;N,DEF,DAT,SG
afsaka;<afs;>;DEL;aka;V,IND,PRS,1,PL
afsaka;<afsaka;>;INS;ökum;V,IND,PRS,1,PL
kantur;<k;ntur>;DEL;a;N,INDF,DAT,PL
kantur;<ka;ntur>;INS;ö;N,INDF,DAT,PL
kantur;<kantu;>;DEL;r;N,INDF,DAT,PL
kantur;<kantur;>;INS;m;N,INDF,DAT,PL
ölmusa;<ölmus;>;DEL;a;N,DEF,DAT,SG
ölmusa;<ölmusa;>;INS;unni;N,DEF,DAT,SG
demantur;<demant;>;DEL;ur;N,INDF,ACC,SG
strompur;<stromp;>;DEL;ur;N,DEF,GEN,PL
strompur;<strompur;>;INS;anna;N,DEF,GEN,PL
deita;<deit;>;DEL;a;V,SBJV,PST,3,PL
deita;<deita;>;INS;uðu;V,SBJV,PST,3,PL
andi;<and;>;DEL;i;N,INDF,DAT,SG
andi;<andi;>;INS;a;N,INDF,DAT,SG
hræla;<hræla;>;INS;r;V,IND,PRS,3,SG
vakt;<vakt;>;INS;irnar;N,DEF,ACC,PL
víkja;<vík;a>;DEL;j;V,NFIN
eldur;<eld;>;DEL;ur;N,DEF,ACC,PL
eldur;<eldur;>;INS;ana;N,DEF,ACC,PL
öfund;<öfund;>;INS;ina;N,DEF,ACC,SG
klettur;<klett;>;DEL;ur;N,DEF,GEN,PL
klettur;<klettur;>;INS;anna;N,DEF,GEN,PL
bæjasvala;<bæjasv;la>;DEL;a;N,DEF,ACC,SG
bæjasvala;<bæjasva;la>;INS;ö;N,DEF,ACC,SG
bæjasvala;<bæjasval;a>;INS;un;N,DEF,ACC,SG
flokkur;<flokku;>;DEL;r;N,DEF,DAT,PL
flokkur;<flokkur;>;INS;num;N,DEF,DAT,PL
þvarg;<þvarg;>;INS;s;N,INDF,GEN,SG
framhlaðningur;<framhlaðning;>;DEL;ur;N,DEF,GEN,PL
framhlaðningur;<framhlaðningur;>;INS;anna;N,DEF,GEN,PL
fræ;<fræ;>;INS;ið;N,DEF,ACC,SG
kveða;<kv;>;DEL;eða;V,SBJV,PST,1,PL
kveða;<kveða;>;INS;æðum;V,SBJV,PST,1,PL
kúka;<kúk;>;DEL;a;V,IND,PST,2,PL
kúka;<kúka;>;INS;uðuð;V,IND,PST,2,PL
oddur;<odd;>;DEL;ur;N,INDF,ACC,PL
oddur;<oddur;>;INS;a;N,INDF,ACC,PL
aría;<arí;>;DEL;a;N,DEF,DAT,PL
aría;<aría;>;INS;unum;N,DEF,DAT,PL
skriðdýr;<skriðdýr;>;INS;anna;N,DEF,GEN,PL
hylur;<hyl;>;DEL;ur;N,INDF,GEN,SG
hylur;<hylur;>;INS;s;N,INDF,GEN,SG
matseðill;<matseði;l>;DEL;l;N,INDF,ACC,SG
kínverska;<kínversk;>;DEL;a;N,INDF,ACC,SG
kínverska;<kínverska;>;INS;u;N,INDF,ACC,SG
tefla;<tefl;>;DEL;a;V,SBJV,PST,3,PL
tefla;<tefla;>;INS;du;V,SBJV,PST,3,PL
lágmark;<lágm;rk>;DEL;a;N,DEF,DAT,PL
lágmark;<lágma;rk>;INS;ö;N,DEF,DAT,PL
lágmark;<lágmark;>;INS;unum;N,DEF,DAT,PL
gargönd;<gargönd;>;INS;inni;N,DEF,DAT,SG
frost;<frost;>;INS;ið;N,DEF,ACC,SG
lortur;<lort;ur>;INS;in;N,DEF,DAT,SG
lortur;<lortu;>;DEL;r;N,DEF,DAT,SG
lortur;<lortur;>;INS;m;N,DEF,DAT,SG
riddari;<ridd;>;DEL;ari;N,INDF,DAT,PL
riddari;<riddari;>;INS;urum;N,INDF,DAT,PL
gat;<gat;>;INS;ið;N,DEF,ACC,SG
dvergur;<dverg;>;DEL;ur;N,DEF,GEN,SG
dvergur;<dvergur;>;INS;sins;N,DEF,GEN,SG
rok;<rok;>;INS;anna;N,DEF,GEN,PL
gröf;<gröf;>;INS;unum;N,DEF,DAT,PL
sveðja;<sveðj;>;DEL;a;N,DEF,DAT,PL
sveðja;<sveðja;>;INS;unum;N,DEF,DAT,PL
kögur;<kög;r>;DEL;u;N,INDF,DAT,SG
kögur;<kögur;>;INS;i;N,INDF,DAT,SG
teygjudýr;<teygjudýr;>;INS;sins;N,DEF,GEN,SG
ferna;<fern;>;DEL;a;N,INDF,DAT,PL
ferna;<ferna;>;INS;um;N,INDF,DAT,PL
dýrka;<dýrk;>;DEL;a;V,IND,PST,3,PL
dýrka;<dýrka;>;INS;uðu;V,IND,PST,3,PL
vændiskona;<vændiskon;>;DEL;a;N,INDF,DAT,SG
vændiskona;<vændiskona;>;INS;u;N,INDF,DAT,SG
örnefni;<örnefni;>;INS;nu;N,DEF,DAT,SG
lilja;<lilj;a>;INS;ann;N,DEF,GEN,PL
kýli;<kýl;>;DEL;i;N,DEF,GEN,PL
kýli;<kýli;>;INS;anna;N,DEF,GEN,PL
brjálæði;<brjálæði;>;INS;nu;N,DEF,DAT,SG
háfur;<háf;ur>;INS;n;N,DEF,DAT,SG
háfur;<háfu;>;DEL;r;N,DEF,DAT,SG
háfur;<háfur;>;INS;m;N,DEF,DAT,SG
afsökun;<afsöku;n>;INS;ni;N,DEF,NOM,SG
meðaltal;<meðaltal;>;INS;ið;N,DEF,NOM,SG
egna;<egn;>;DEL;a;V,IMP,2,PL
egna;<egna;>;INS;ið;V,IMP,2,PL
kjörskrá;<kjörskrá;>;INS;m;N,INDF,DAT,PL
Austurríkismaður;<Austurríkisma;>;DEL;ður;N,INDF,ACC,SG
Austurríkismaður;<Austurríkismaður;>;INS;nn;N,INDF,ACC,SG
munaðarleysingi;<munaðarleysingi;>;INS;nn;N,DEF,NOM,SG
fæla;<fæl;>;DEL;a;V,IND,PRS,1,SG
fæla;<fæla;>;INS;i;V,IND,PRS,1,SG
unnusti;<unnust;i>;INS;arn;N,DEF,NOM,PL
unnusti;<unnusti;>;INS;r;N,DEF,NOM,PL
tigna;<tigna;>;INS;ðir;V,SBJV,PST,2,SG
vídeó;<vídeó;>;INS;s;N,INDF,GEN,SG
tilboð;<tilboð;>;INS;in;N,DEF,ACC,PL
koss;<koss;>;INS;anna;N,DEF,GEN,PL
væl;<væl;>;INS;in;N,DEF,ACC,PL
strekkja;<strekk;>;DEL;ja;V,IND,PRS,2,PL
strekkja;<strekkja;>;INS;ið;V,IND,PRS,2,PL
fornafn;<forn;fn>;DEL;a;N,INDF,ACC,PL
fornafn;<forna;fn>;INS;ö;N,INDF,ACC,PL
kokhlust;<kokhlust;>;INS;ir;N,INDF,ACC,PL
for;<for;>;INS;inni;N,DEF,DAT,SG
fækka;<fækk;>;DEL;a;V,SBJV,PRS,2,PL
fækka;<fækka;>;INS;ið;V,SBJV,PRS,2,PL
hrapa;<hrapa;>;INS;ðir;V,IND,PST,2,SG
héri;<hér;>;DEL;i;N,DEF,ACC,SG
héri;<héri;>;INS;ann;N,DEF,ACC,SG
helsingi;<helsing;>;DEL;i;N,INDF,ACC,PL
helsingi;<helsingi;>;INS;ja;N,INDF,ACC,PL
fórna;<fórna;>;INS;ðir;V,IND,PST,2,SG
svíða;<svíð;>;DEL;a;V,SBJV,PRS,3,PL
svíða;<svíða;>;INS;i;V,SBJV,PRS,3,PL
baldýra;<baldýr;>;DEL;a;V,IND,PRS,1,PL
baldýra;<baldýra;>;INS;um;V,IND,PRS,1,PL
bær;<bæ;>;DEL;r;N,INDF,GEN,SG
höfnun;<höfnun;>;INS;ar;N,INDF,GEN,SG
skulda;<skuld;>;DEL;a;V,SBJV,PRS,1,SG
